entity,perturbation_type,fact_type,true_value,wrong_value,question,correct_statement,false_premise
Avengers: Endgame,person,film_director_swap,Anthony Russo,Paul Rudish,How did the visual style of director Paul Rudish manifest in the cinematography of their film Avengers: Endgame?,"The film Avengers: Endgame was directed by Anthony Russo, not Paul Rudish. Paul Rudish was likely a collaborator or from a similar era.",The question incorrectly states Paul Rudish instead of the correct value Anthony Russo.
Avengers: Infinity War,person,film_director_swap,Anthony Russo,Chris Bailey,How did the visual style of director Chris Bailey manifest in the cinematography of their film Avengers: Infinity War?,"The film Avengers: Infinity War was directed by Anthony Russo, not Chris Bailey. Chris Bailey was likely a collaborator or from a similar era.",The question incorrectly states Chris Bailey instead of the correct value Anthony Russo.
A View to a Kill,person,film_director_swap,John Glen,Nelson McCormick,How did the visual style of director Nelson McCormick manifest in the cinematography of their film A View to a Kill?,"The film A View to a Kill was directed by John Glen, not Nelson McCormick. Nelson McCormick was likely a collaborator or from a similar era.",The question incorrectly states Nelson McCormick instead of the correct value John Glen.
Babel,person,film_director_swap,Alejandro González Iñárritu,Toby Haynes,How did the visual style of director Toby Haynes manifest in the cinematography of their film Babel?,"The film Babel was directed by Alejandro González Iñárritu, not Toby Haynes. Toby Haynes was likely a collaborator or from a similar era.",The question incorrectly states Toby Haynes instead of the correct value Alejandro González Iñárritu.
Back to the Future,person,film_director_swap,Robert Zemeckis,Anthony Lover,How did the visual style of director Anthony Lover manifest in the cinematography of their film Back to the Future?,"The film Back to the Future was directed by Robert Zemeckis, not Anthony Lover. Anthony Lover was likely a collaborator or from a similar era.",The question incorrectly states Anthony Lover instead of the correct value Robert Zemeckis.
Back to the Future Part II,person,film_director_swap,Robert Zemeckis,Jason Woliner,How did the visual style of director Jason Woliner manifest in the cinematography of their film Back to the Future Part II?,"The film Back to the Future Part II was directed by Robert Zemeckis, not Jason Woliner. Jason Woliner was likely a collaborator or from a similar era.",The question incorrectly states Jason Woliner instead of the correct value Robert Zemeckis.
Back to the Future Part III,person,film_director_swap,Robert Zemeckis,Michael Engler,How did the visual style of director Michael Engler manifest in the cinematography of their film Back to the Future Part III?,"The film Back to the Future Part III was directed by Robert Zemeckis, not Michael Engler. Michael Engler was likely a collaborator or from a similar era.",The question incorrectly states Michael Engler instead of the correct value Robert Zemeckis.
Barbie,person,film_director_swap,Greta Gerwig,Jos Pauly,How did the visual style of director Jos Pauly manifest in the cinematography of their film Barbie?,"The film Barbie was directed by Greta Gerwig, not Jos Pauly. Jos Pauly was likely a collaborator or from a similar era.",The question incorrectly states Jos Pauly instead of the correct value Greta Gerwig.
Barry Lyndon,person,film_director_swap,Stanley Kubrick,R. Lee Ermey,How did the visual style of director R. Lee Ermey manifest in the cinematography of their film Barry Lyndon?,"The film Barry Lyndon was directed by Stanley Kubrick, not R. Lee Ermey. R. Lee Ermey was likely a collaborator or from a similar era.",The question incorrectly states R. Lee Ermey instead of the correct value Stanley Kubrick.
Basic Instinct,person,film_director_swap,Paul Verhoeven,J. Miller Tobin,How did the visual style of director J. Miller Tobin manifest in the cinematography of their film Basic Instinct?,"The film Basic Instinct was directed by Paul Verhoeven, not J. Miller Tobin. J. Miller Tobin was likely a collaborator or from a similar era.",The question incorrectly states J. Miller Tobin instead of the correct value Paul Verhoeven.
Batman,person,film_director_swap,Tim Burton,Bill Johnson,How did the visual style of director Bill Johnson manifest in the cinematography of their film Batman?,"The film Batman was directed by Tim Burton, not Bill Johnson. Bill Johnson was likely a collaborator or from a similar era.",The question incorrectly states Bill Johnson instead of the correct value Tim Burton.
Batman Begins,person,film_director_swap,Christopher Nolan,Mark Story,How did the visual style of director Mark Story manifest in the cinematography of their film Batman Begins?,"The film Batman Begins was directed by Christopher Nolan, not Mark Story. Mark Story was likely a collaborator or from a similar era.",The question incorrectly states Mark Story instead of the correct value Christopher Nolan.
Batman Forever,person,film_director_swap,Joel Schumacher,Rian Johnson,How did the visual style of director Rian Johnson manifest in the cinematography of their film Batman Forever?,"The film Batman Forever was directed by Joel Schumacher, not Rian Johnson. Rian Johnson was likely a collaborator or from a similar era.",The question incorrectly states Rian Johnson instead of the correct value Joel Schumacher.
Batman Returns,person,film_director_swap,Tim Burton,Jane Campion,How did the visual style of director Jane Campion manifest in the cinematography of their film Batman Returns?,"The film Batman Returns was directed by Tim Burton, not Jane Campion. Jane Campion was likely a collaborator or from a similar era.",The question incorrectly states Jane Campion instead of the correct value Tim Burton.
Batman & Robin,person,film_director_swap,Joel Schumacher,Akiva Schaffer,How did the visual style of director Akiva Schaffer manifest in the cinematography of their film Batman & Robin?,"The film Batman & Robin was directed by Joel Schumacher, not Akiva Schaffer. Akiva Schaffer was likely a collaborator or from a similar era.",The question incorrectly states Akiva Schaffer instead of the correct value Joel Schumacher.
Batman v Superman: Dawn of Justice,person,film_director_swap,Zack Snyder,Jordan Vogt-Roberts,How did the visual style of director Jordan Vogt-Roberts manifest in the cinematography of their film Batman v Superman: Dawn of Justice?,"The film Batman v Superman: Dawn of Justice was directed by Zack Snyder, not Jordan Vogt-Roberts. Jordan Vogt-Roberts was likely a collaborator or from a similar era.",The question incorrectly states Jordan Vogt-Roberts instead of the correct value Zack Snyder.
Battleship Potemkin,person,film_director_swap,Sergei Eisenstein,Wilfred Jackson,How did the visual style of director Wilfred Jackson manifest in the cinematography of their film Battleship Potemkin?,"The film Battleship Potemkin was directed by Sergei Eisenstein, not Wilfred Jackson. Wilfred Jackson was likely a collaborator or from a similar era.",The question incorrectly states Wilfred Jackson instead of the correct value Sergei Eisenstein.
Beauty and the Beast,person,film_director_swap,Bill Condon,Lü Yue,How did the visual style of director Lü Yue manifest in the cinematography of their film Beauty and the Beast?,"The film Beauty and the Beast was directed by Bill Condon, not Lü Yue. Lü Yue was likely a collaborator or from a similar era.",The question incorrectly states Lü Yue instead of the correct value Bill Condon.
Beetlejuice,person,film_director_swap,Tim Burton,Carl Tibbetts,How did the visual style of director Carl Tibbetts manifest in the cinematography of their film Beetlejuice?,"The film Beetlejuice was directed by Tim Burton, not Carl Tibbetts. Carl Tibbetts was likely a collaborator or from a similar era.",The question incorrectly states Carl Tibbetts instead of the correct value Tim Burton.
Before Sunrise,person,film_director_swap,Richard Linklater,Juan Logar Jr.,How did the visual style of director Juan Logar Jr. manifest in the cinematography of their film Before Sunrise?,"The film Before Sunrise was directed by Richard Linklater, not Juan Logar Jr.. Juan Logar Jr. was likely a collaborator or from a similar era.",The question incorrectly states Juan Logar Jr. instead of the correct value Richard Linklater.
Being John Malkovich,person,film_director_swap,Spike Jonze,Jibril,How did the visual style of director Jibril manifest in the cinematography of their film Being John Malkovich?,"The film Being John Malkovich was directed by Spike Jonze, not Jibril. Jibril was likely a collaborator or from a similar era.",The question incorrectly states Jibril instead of the correct value Spike Jonze.
Ben-Hur,person,film_director_swap,William Wyler,Pierre Perifel,How did the visual style of director Pierre Perifel manifest in the cinematography of their film Ben-Hur?,"The film Ben-Hur was directed by William Wyler, not Pierre Perifel. Pierre Perifel was likely a collaborator or from a similar era.",The question incorrectly states Pierre Perifel instead of the correct value William Wyler.
Bicycle Thieves,person,film_director_swap,Vittorio De Sica,William Hanna,How did the visual style of director William Hanna manifest in the cinematography of their film Bicycle Thieves?,"The film Bicycle Thieves was directed by Vittorio De Sica, not William Hanna. William Hanna was likely a collaborator or from a similar era.",The question incorrectly states William Hanna instead of the correct value Vittorio De Sica.
Big Fish,person,film_director_swap,Tim Burton,Kirk DeMicco,How did the visual style of director Kirk DeMicco manifest in the cinematography of their film Big Fish?,"The film Big Fish was directed by Tim Burton, not Kirk DeMicco. Kirk DeMicco was likely a collaborator or from a similar era.",The question incorrectly states Kirk DeMicco instead of the correct value Tim Burton.
Birdman,person,film_director_swap,Alejandro González Iñárritu,Sam Mendes,How did the visual style of director Sam Mendes manifest in the cinematography of their film Birdman?,"The film Birdman was directed by Alejandro González Iñárritu, not Sam Mendes. Sam Mendes was likely a collaborator or from a similar era.",The question incorrectly states Sam Mendes instead of the correct value Alejandro González Iñárritu.
Black Hawk Down,person,film_director_swap,Ridley Scott,Damien Chazelle,How did the visual style of director Damien Chazelle manifest in the cinematography of their film Black Hawk Down?,"The film Black Hawk Down was directed by Ridley Scott, not Damien Chazelle. Damien Chazelle was likely a collaborator or from a similar era.",The question incorrectly states Damien Chazelle instead of the correct value Ridley Scott.
Black Panther,person,film_director_swap,Ryan Coogler,Justin K. Thompson,How did the visual style of director Justin K. Thompson manifest in the cinematography of their film Black Panther?,"The film Black Panther was directed by Ryan Coogler, not Justin K. Thompson. Justin K. Thompson was likely a collaborator or from a similar era.",The question incorrectly states Justin K. Thompson instead of the correct value Ryan Coogler.
Black Panther: Wakanda Forever,person,film_director_swap,Ryan Coogler,David Evans,How did the visual style of director David Evans manifest in the cinematography of their film Black Panther: Wakanda Forever?,"The film Black Panther: Wakanda Forever was directed by Ryan Coogler, not David Evans. David Evans was likely a collaborator or from a similar era.",The question incorrectly states David Evans instead of the correct value Ryan Coogler.
Black Swan,person,film_director_swap,Darren Aronofsky,Stanley Donen,How did the visual style of director Stanley Donen manifest in the cinematography of their film Black Swan?,"The film Black Swan was directed by Darren Aronofsky, not Stanley Donen. Stanley Donen was likely a collaborator or from a similar era.",The question incorrectly states Stanley Donen instead of the correct value Darren Aronofsky.
Black Widow,person,film_director_swap,Cate Shortland,McG,How did the visual style of director McG manifest in the cinematography of their film Black Widow?,"The film Black Widow was directed by Cate Shortland, not McG. McG was likely a collaborator or from a similar era.",The question incorrectly states McG instead of the correct value Cate Shortland.
Blade II,person,film_director_swap,Guillermo del Toro,Richard Curtis,How did the visual style of director Richard Curtis manifest in the cinematography of their film Blade II?,"The film Blade II was directed by Guillermo del Toro, not Richard Curtis. Richard Curtis was likely a collaborator or from a similar era.",The question incorrectly states Richard Curtis instead of the correct value Guillermo del Toro.
Blade Runner,person,film_director_swap,Ridley Scott,George Lucas,How did the visual style of director George Lucas manifest in the cinematography of their film Blade Runner?,"The film Blade Runner was directed by Ridley Scott, not George Lucas. George Lucas was likely a collaborator or from a similar era.",The question incorrectly states George Lucas instead of the correct value Ridley Scott.
Blade Runner 2049,person,film_director_swap,Denis Villeneuve,Peter MacDonald,How did the visual style of director Peter MacDonald manifest in the cinematography of their film Blade Runner 2049?,"The film Blade Runner 2049 was directed by Denis Villeneuve, not Peter MacDonald. Peter MacDonald was likely a collaborator or from a similar era.",The question incorrectly states Peter MacDonald instead of the correct value Denis Villeneuve.
Blood Diamond,person,film_director_swap,Edward Zwick,Valerie Faris,How did the visual style of director Valerie Faris manifest in the cinematography of their film Blood Diamond?,"The film Blood Diamond was directed by Edward Zwick, not Valerie Faris. Valerie Faris was likely a collaborator or from a similar era.",The question incorrectly states Valerie Faris instead of the correct value Edward Zwick.
Blue Velvet,person,film_director_swap,David Lynch,Michael Slovis,How did the visual style of director Michael Slovis manifest in the cinematography of their film Blue Velvet?,"The film Blue Velvet was directed by David Lynch, not Michael Slovis. Michael Slovis was likely a collaborator or from a similar era.",The question incorrectly states Michael Slovis instead of the correct value David Lynch.
Bohemian Rhapsody,person,film_director_swap,Bryan Singer,Tim Hill,How did the visual style of director Tim Hill manifest in the cinematography of their film Bohemian Rhapsody?,"The film Bohemian Rhapsody was directed by Bryan Singer, not Tim Hill. Tim Hill was likely a collaborator or from a similar era.",The question incorrectly states Tim Hill instead of the correct value Bryan Singer.
Bonnie and Clyde,person,film_director_swap,Arthur Penn,Louis J. Horvitz,How did the visual style of director Louis J. Horvitz manifest in the cinematography of their film Bonnie and Clyde?,"The film Bonnie and Clyde was directed by Arthur Penn, not Louis J. Horvitz. Louis J. Horvitz was likely a collaborator or from a similar era.",The question incorrectly states Louis J. Horvitz instead of the correct value Arthur Penn.
Borat,person,film_director_swap,Larry Charles,Larry Leichliter,How did the visual style of director Larry Leichliter manifest in the cinematography of their film Borat?,"The film Borat was directed by Larry Charles, not Larry Leichliter. Larry Leichliter was likely a collaborator or from a similar era.",The question incorrectly states Larry Leichliter instead of the correct value Larry Charles.
Boyhood,person,film_director_swap,Richard Linklater,Justin Lin,How did the visual style of director Justin Lin manifest in the cinematography of their film Boyhood?,"The film Boyhood was directed by Richard Linklater, not Justin Lin. Justin Lin was likely a collaborator or from a similar era.",The question incorrectly states Justin Lin instead of the correct value Richard Linklater.
Bram Stoker's Dracula,person,film_director_swap,Francis Ford Coppola,William Cottrell,How did the visual style of director William Cottrell manifest in the cinematography of their film Bram Stoker's Dracula?,"The film Bram Stoker's Dracula was directed by Francis Ford Coppola, not William Cottrell. William Cottrell was likely a collaborator or from a similar era.",The question incorrectly states William Cottrell instead of the correct value Francis Ford Coppola.
Braveheart,person,film_director_swap,Mel Gibson,Sofia Coppola,How did the visual style of director Sofia Coppola manifest in the cinematography of their film Braveheart?,"The film Braveheart was directed by Mel Gibson, not Sofia Coppola. Sofia Coppola was likely a collaborator or from a similar era.",The question incorrectly states Sofia Coppola instead of the correct value Mel Gibson.
Brazil,person,film_director_swap,Terry Gilliam,Patrick McHale,How did the visual style of director Patrick McHale manifest in the cinematography of their film Brazil?,"The film Brazil was directed by Terry Gilliam, not Patrick McHale. Patrick McHale was likely a collaborator or from a similar era.",The question incorrectly states Patrick McHale instead of the correct value Terry Gilliam.
Breakfast at Tiffany's,person,film_director_swap,Blake Edwards,George Cukor,How did the visual style of director George Cukor manifest in the cinematography of their film Breakfast at Tiffany's?,"The film Breakfast at Tiffany's was directed by Blake Edwards, not George Cukor. George Cukor was likely a collaborator or from a similar era.",The question incorrectly states George Cukor instead of the correct value Blake Edwards.
Breathless,person,film_director_swap,Jean-Luc Godard,Jake Szymanski,How did the visual style of director Jake Szymanski manifest in the cinematography of their film Breathless?,"The film Breathless was directed by Jean-Luc Godard, not Jake Szymanski. Jake Szymanski was likely a collaborator or from a similar era.",The question incorrectly states Jake Szymanski instead of the correct value Jean-Luc Godard.
Bridge of Spies,person,film_director_swap,Steven Spielberg,Frank Miller,How did the visual style of director Frank Miller manifest in the cinematography of their film Bridge of Spies?,"The film Bridge of Spies was directed by Steven Spielberg, not Frank Miller. Frank Miller was likely a collaborator or from a similar era.",The question incorrectly states Frank Miller instead of the correct value Steven Spielberg.
Brokeback Mountain,person,film_director_swap,Ang Lee,William Wegman,How did the visual style of director William Wegman manifest in the cinematography of their film Brokeback Mountain?,"The film Brokeback Mountain was directed by Ang Lee, not William Wegman. William Wegman was likely a collaborator or from a similar era.",The question incorrectly states William Wegman instead of the correct value Ang Lee.
Bruce Almighty,person,film_director_swap,Tom Shadyac,Brian Kelly,How did the visual style of director Brian Kelly manifest in the cinematography of their film Bruce Almighty?,"The film Bruce Almighty was directed by Tom Shadyac, not Brian Kelly. Brian Kelly was likely a collaborator or from a similar era.",The question incorrectly states Brian Kelly instead of the correct value Tom Shadyac.
Butch Cassidy and the Sundance Kid,person,film_director_swap,George Roy Hill,Glenn Weiss,How did the visual style of director Glenn Weiss manifest in the cinematography of their film Butch Cassidy and the Sundance Kid?,"The film Butch Cassidy and the Sundance Kid was directed by George Roy Hill, not Glenn Weiss. Glenn Weiss was likely a collaborator or from a similar era.",The question incorrectly states Glenn Weiss instead of the correct value George Roy Hill.
Call Me by Your Name,person,film_director_swap,Luca Guadagnino,Kenneth Branagh,How did the visual style of director Kenneth Branagh manifest in the cinematography of their film Call Me by Your Name?,"The film Call Me by Your Name was directed by Luca Guadagnino, not Kenneth Branagh. Kenneth Branagh was likely a collaborator or from a similar era.",The question incorrectly states Kenneth Branagh instead of the correct value Luca Guadagnino.
Cape Fear,person,film_director_swap,Martin Scorsese,Franklin J. Schaffner,How did the visual style of director Franklin J. Schaffner manifest in the cinematography of their film Cape Fear?,"The film Cape Fear was directed by Martin Scorsese, not Franklin J. Schaffner. Franklin J. Schaffner was likely a collaborator or from a similar era.",The question incorrectly states Franklin J. Schaffner instead of the correct value Martin Scorsese.
Captain America: Civil War,person,film_director_swap,Anthony Russo,Steven Soderbergh,How did the visual style of director Steven Soderbergh manifest in the cinematography of their film Captain America: Civil War?,"The film Captain America: Civil War was directed by Anthony Russo, not Steven Soderbergh. Steven Soderbergh was likely a collaborator or from a similar era.",The question incorrectly states Steven Soderbergh instead of the correct value Anthony Russo.
Captain America: The First Avenger,person,film_director_swap,Joe Johnston,Nick Cassavetes,How did the visual style of director Nick Cassavetes manifest in the cinematography of their film Captain America: The First Avenger?,"The film Captain America: The First Avenger was directed by Joe Johnston, not Nick Cassavetes. Nick Cassavetes was likely a collaborator or from a similar era.",The question incorrectly states Nick Cassavetes instead of the correct value Joe Johnston.
Captain America: The Winter Soldier,person,film_director_swap,Anthony Russo,Pete Docter,How did the visual style of director Pete Docter manifest in the cinematography of their film Captain America: The Winter Soldier?,"The film Captain America: The Winter Soldier was directed by Anthony Russo, not Pete Docter. Pete Docter was likely a collaborator or from a similar era.",The question incorrectly states Pete Docter instead of the correct value Anthony Russo.
Captain Marvel,person,film_director_swap,Anna Boden,Joe Ranft,How did the visual style of director Joe Ranft manifest in the cinematography of their film Captain Marvel?,"The film Captain Marvel was directed by Anna Boden, not Joe Ranft. Joe Ranft was likely a collaborator or from a similar era.",The question incorrectly states Joe Ranft instead of the correct value Anna Boden.
Captain Phillips,person,film_director_swap,Paul Greengrass,Andrew Niccol,How did the visual style of director Andrew Niccol manifest in the cinematography of their film Captain Phillips?,"The film Captain Phillips was directed by Paul Greengrass, not Andrew Niccol. Andrew Niccol was likely a collaborator or from a similar era.",The question incorrectly states Andrew Niccol instead of the correct value Paul Greengrass.
Cars,person,film_director_swap,Joe Ranft,Marcos Siega,How did the visual style of director Marcos Siega manifest in the cinematography of their film Cars?,"The film Cars was directed by Joe Ranft, not Marcos Siega. Marcos Siega was likely a collaborator or from a similar era.",The question incorrectly states Marcos Siega instead of the correct value Joe Ranft.
Casablanca,person,film_director_swap,Michael Curtiz,David Leitch,How did the visual style of director David Leitch manifest in the cinematography of their film Casablanca?,"The film Casablanca was directed by Michael Curtiz, not David Leitch. David Leitch was likely a collaborator or from a similar era.",The question incorrectly states David Leitch instead of the correct value Michael Curtiz.
Casino,person,film_director_swap,Martin Scorsese,Luca Guadagnino,How did the visual style of director Luca Guadagnino manifest in the cinematography of their film Casino?,"The film Casino was directed by Martin Scorsese, not Luca Guadagnino. Luca Guadagnino was likely a collaborator or from a similar era.",The question incorrectly states Luca Guadagnino instead of the correct value Martin Scorsese.
Casino Royale,person,film_director_swap,Martin Campbell,Edward Hall,How did the visual style of director Edward Hall manifest in the cinematography of their film Casino Royale?,"The film Casino Royale was directed by Martin Campbell, not Edward Hall. Edward Hall was likely a collaborator or from a similar era.",The question incorrectly states Edward Hall instead of the correct value Martin Campbell.
Cast Away,person,film_director_swap,Robert Zemeckis,Jeff Woolnough,How did the visual style of director Jeff Woolnough manifest in the cinematography of their film Cast Away?,"The film Cast Away was directed by Robert Zemeckis, not Jeff Woolnough. Jeff Woolnough was likely a collaborator or from a similar era.",The question incorrectly states Jeff Woolnough instead of the correct value Robert Zemeckis.
Catch Me If You Can,person,film_director_swap,Steven Spielberg,Tony Cervone,How did the visual style of director Tony Cervone manifest in the cinematography of their film Catch Me If You Can?,"The film Catch Me If You Can was directed by Steven Spielberg, not Tony Cervone. Tony Cervone was likely a collaborator or from a similar era.",The question incorrectly states Tony Cervone instead of the correct value Steven Spielberg.
Changeling,person,film_director_swap,Clint Eastwood,Gary Conrad,How did the visual style of director Gary Conrad manifest in the cinematography of their film Changeling?,"The film Changeling was directed by Clint Eastwood, not Gary Conrad. Gary Conrad was likely a collaborator or from a similar era.",The question incorrectly states Gary Conrad instead of the correct value Clint Eastwood.
Chariots of Fire,person,film_director_swap,Hugh Hudson,Jane Campion,How did the visual style of director Jane Campion manifest in the cinematography of their film Chariots of Fire?,"The film Chariots of Fire was directed by Hugh Hudson, not Jane Campion. Jane Campion was likely a collaborator or from a similar era.",The question incorrectly states Jane Campion instead of the correct value Hugh Hudson.
Charlie and the Chocolate Factory,person,film_director_swap,Tim Burton,Glenn Weiss,How did the visual style of director Glenn Weiss manifest in the cinematography of their film Charlie and the Chocolate Factory?,"The film Charlie and the Chocolate Factory was directed by Tim Burton, not Glenn Weiss. Glenn Weiss was likely a collaborator or from a similar era.",The question incorrectly states Glenn Weiss instead of the correct value Tim Burton.
Charlotte's Web,person,film_director_swap,Gary Winick,Paul Lazarus,How did the visual style of director Paul Lazarus manifest in the cinematography of their film Charlotte's Web?,"The film Charlotte's Web was directed by Gary Winick, not Paul Lazarus. Paul Lazarus was likely a collaborator or from a similar era.",The question incorrectly states Paul Lazarus instead of the correct value Gary Winick.
Chicago,person,film_director_swap,Rob Marshall,Rupert Wyatt,How did the visual style of director Rupert Wyatt manifest in the cinematography of their film Chicago?,"The film Chicago was directed by Rob Marshall, not Rupert Wyatt. Rupert Wyatt was likely a collaborator or from a similar era.",The question incorrectly states Rupert Wyatt instead of the correct value Rob Marshall.
Children of Men,person,film_director_swap,Alfonso Cuarón,Gerald Cotts,How did the visual style of director Gerald Cotts manifest in the cinematography of their film Children of Men?,"The film Children of Men was directed by Alfonso Cuarón, not Gerald Cotts. Gerald Cotts was likely a collaborator or from a similar era.",The question incorrectly states Gerald Cotts instead of the correct value Alfonso Cuarón.
Chinatown,person,film_director_swap,Roman Polanski,M. Night Shyamalan,How did the visual style of director M. Night Shyamalan manifest in the cinematography of their film Chinatown?,"The film Chinatown was directed by Roman Polanski, not M. Night Shyamalan. M. Night Shyamalan was likely a collaborator or from a similar era.",The question incorrectly states M. Night Shyamalan instead of the correct value Roman Polanski.
Cimarron,person,film_director_swap,Wesley Ruggles,Adrian Molina,How did the visual style of director Adrian Molina manifest in the cinematography of their film Cimarron?,"The film Cimarron was directed by Wesley Ruggles, not Adrian Molina. Adrian Molina was likely a collaborator or from a similar era.",The question incorrectly states Adrian Molina instead of the correct value Wesley Ruggles.
Cinderella,person,film_director_swap,Kenneth Branagh,Matthew Meshekoff,How did the visual style of director Matthew Meshekoff manifest in the cinematography of their film Cinderella?,"The film Cinderella was directed by Kenneth Branagh, not Matthew Meshekoff. Matthew Meshekoff was likely a collaborator or from a similar era.",The question incorrectly states Matthew Meshekoff instead of the correct value Kenneth Branagh.
Cinema Paradiso,person,film_director_swap,Giuseppe Tornatore,David Silverman,How did the visual style of director David Silverman manifest in the cinematography of their film Cinema Paradiso?,"The film Cinema Paradiso was directed by Giuseppe Tornatore, not David Silverman. David Silverman was likely a collaborator or from a similar era.",The question incorrectly states David Silverman instead of the correct value Giuseppe Tornatore.
Citizen Kane,person,film_director_swap,Orson Welles,Brian De Palma,How did the visual style of director Brian De Palma manifest in the cinematography of their film Citizen Kane?,"The film Citizen Kane was directed by Orson Welles, not Brian De Palma. Brian De Palma was likely a collaborator or from a similar era.",The question incorrectly states Brian De Palma instead of the correct value Orson Welles.
City Lights,person,film_director_swap,Charlie Chaplin,Frank Darabont,How did the visual style of director Frank Darabont manifest in the cinematography of their film City Lights?,"The film City Lights was directed by Charlie Chaplin, not Frank Darabont. Frank Darabont was likely a collaborator or from a similar era.",The question incorrectly states Frank Darabont instead of the correct value Charlie Chaplin.
City of God,person,film_director_swap,Fernando Meirelles,Sergio Leone,How did the visual style of director Sergio Leone manifest in the cinematography of their film City of God?,"The film City of God was directed by Fernando Meirelles, not Sergio Leone. Sergio Leone was likely a collaborator or from a similar era.",The question incorrectly states Sergio Leone instead of the correct value Fernando Meirelles.
Clash of the Titans,person,film_director_swap,Louis Leterrier,Luis Buñuel,How did the visual style of director Luis Buñuel manifest in the cinematography of their film Clash of the Titans?,"The film Clash of the Titans was directed by Louis Leterrier, not Luis Buñuel. Luis Buñuel was likely a collaborator or from a similar era.",The question incorrectly states Luis Buñuel instead of the correct value Louis Leterrier.
Close Encounters of the Third Kind,person,film_director_swap,Steven Spielberg,Mitchell Kriegman,How did the visual style of director Mitchell Kriegman manifest in the cinematography of their film Close Encounters of the Third Kind?,"The film Close Encounters of the Third Kind was directed by Steven Spielberg, not Mitchell Kriegman. Mitchell Kriegman was likely a collaborator or from a similar era.",The question incorrectly states Mitchell Kriegman instead of the correct value Steven Spielberg.
Closer,person,film_director_swap,Mike Nichols,Tate Taylor,How did the visual style of director Tate Taylor manifest in the cinematography of their film Closer?,"The film Closer was directed by Mike Nichols, not Tate Taylor. Tate Taylor was likely a collaborator or from a similar era.",The question incorrectly states Tate Taylor instead of the correct value Mike Nichols.
Collateral,person,film_director_swap,Michael Mann,Franco Marazzi,How did the visual style of director Franco Marazzi manifest in the cinematography of their film Collateral?,"The film Collateral was directed by Michael Mann, not Franco Marazzi. Franco Marazzi was likely a collaborator or from a similar era.",The question incorrectly states Franco Marazzi instead of the correct value Michael Mann.
Commando,person,film_director_swap,Mark L. Lester,Roland Joffé,How did the visual style of director Roland Joffé manifest in the cinematography of their film Commando?,"The film Commando was directed by Mark L. Lester, not Roland Joffé. Roland Joffé was likely a collaborator or from a similar era.",The question incorrectly states Roland Joffé instead of the correct value Mark L. Lester.
Conan the Barbarian,person,film_director_swap,John Milius,Leonid Gaidai,How did the visual style of director Leonid Gaidai manifest in the cinematography of their film Conan the Barbarian?,"The film Conan the Barbarian was directed by John Milius, not Leonid Gaidai. Leonid Gaidai was likely a collaborator or from a similar era.",The question incorrectly states Leonid Gaidai instead of the correct value John Milius.
Constantine,person,film_director_swap,Francis Lawrence,Renny Harlin,How did the visual style of director Renny Harlin manifest in the cinematography of their film Constantine?,"The film Constantine was directed by Francis Lawrence, not Renny Harlin. Renny Harlin was likely a collaborator or from a similar era.",The question incorrectly states Renny Harlin instead of the correct value Francis Lawrence.
Contact,person,film_director_swap,Robert Zemeckis,Samuel Armstrong,How did the visual style of director Samuel Armstrong manifest in the cinematography of their film Contact?,"The film Contact was directed by Robert Zemeckis, not Samuel Armstrong. Samuel Armstrong was likely a collaborator or from a similar era.",The question incorrectly states Samuel Armstrong instead of the correct value Robert Zemeckis.
Contagion,person,film_director_swap,Steven Soderbergh,Lü Yue,How did the visual style of director Lü Yue manifest in the cinematography of their film Contagion?,"The film Contagion was directed by Steven Soderbergh, not Lü Yue. Lü Yue was likely a collaborator or from a similar era.",The question incorrectly states Lü Yue instead of the correct value Steven Soderbergh.
Crash,person,film_director_swap,Paul Haggis,Ken Friedman,How did the visual style of director Ken Friedman manifest in the cinematography of their film Crash?,"The film Crash was directed by Paul Haggis, not Ken Friedman. Ken Friedman was likely a collaborator or from a similar era.",The question incorrectly states Ken Friedman instead of the correct value Paul Haggis.
"Crouching Tiger, Hidden Dragon",person,film_director_swap,Ang Lee,Tom Schiller,"How did the visual style of director Tom Schiller manifest in the cinematography of their film Crouching Tiger, Hidden Dragon?","The film Crouching Tiger, Hidden Dragon was directed by Ang Lee, not Tom Schiller. Tom Schiller was likely a collaborator or from a similar era.",The question incorrectly states Tom Schiller instead of the correct value Ang Lee.
Dallas Buyers Club,person,film_director_swap,Jean-Marc Vallée,Aleksey Kiryushchenko,How did the visual style of director Aleksey Kiryushchenko manifest in the cinematography of their film Dallas Buyers Club?,"The film Dallas Buyers Club was directed by Jean-Marc Vallée, not Aleksey Kiryushchenko. Aleksey Kiryushchenko was likely a collaborator or from a similar era.",The question incorrectly states Aleksey Kiryushchenko instead of the correct value Jean-Marc Vallée.
Dances with Wolves,person,film_director_swap,Kevin Costner,Bruce Straley,How did the visual style of director Bruce Straley manifest in the cinematography of their film Dances with Wolves?,"The film Dances with Wolves was directed by Kevin Costner, not Bruce Straley. Bruce Straley was likely a collaborator or from a similar era.",The question incorrectly states Bruce Straley instead of the correct value Kevin Costner.
