entity1,entity2,answer,question
Mark Cendrowski,Roshawn Franklin,"A New Hobby, a Pervert and a Part-Time Job",Which movie directed by Mark Cendrowski features Roshawn Franklin?
Marriott School of Management,,Scott Smith,Which United States politician was educated at Marriott School of Management
Martin Wood,Anne Openshaw,Summer in the Vineyard,Which movie directed by Martin Wood features Anne Openshaw?
Martin Wood,Matthew James Dowden,Aurora Teagarden Mysteries: A Very Foul Play,Which movie directed by Martin Wood features Matthew James Dowden?
Maryland Agricultural College,,Millard Tydings,Which United States politician was educated at Maryland Agricultural College
Massachusetts Institute of Technology Department of Mechanical Engineering,,Thomas Massie,Which United States politician was educated at Massachusetts Institute of Technology Department of Mechanical Engineering
Mattamuskeet High School,,Ben Cahoon,Which United States politician was educated at Mattamuskeet High School
Max S. Hayes High School,,Frank G. Jackson,Which United States politician was educated at Max S. Hayes High School
Meadow Creek Christian School,,"Nolan West, John Heinrich",Which United States politician was educated at Meadow Creek Christian School
Melissa & Joey,Ed Driscoll,"Play Ball, Let's Get It Started",Which episode of Melissa & Joey was written by Ed Driscoll?
Melissa & Joey,Matt Boren,"Dancing With the Stars of Toledo, Don't Train on My Parade, Waiting for Mr. Right",Which episode of Melissa & Joey was written by Matt Boren?
Methodist Primary School Sibu,,Lee Wong,Which United States politician was educated at Methodist Primary School Sibu
Metropolitan University,,"Angel Pérez Otero, José Luis Cruz Cruz",Which United States politician was educated at Metropolitan University
Michael Curtiz,Károly Makk,The Proud Rebel,Which movie directed by Michael Curtiz features Károly Makk?
Michael Curtiz,Árpád Latabár,The Colonel,Which movie directed by Michael Curtiz features Árpád Latabár?
Michael Lembeck,Destiny Rettinger,Snow Day,Which movie directed by Michael Lembeck features Destiny Rettinger?
Michael Lembeck,Lilly Bartlam,Snow Day,Which movie directed by Michael Lembeck features Lilly Bartlam?
Michael Lembeck,Siobhan Murphy,A Nutcracker Christmas,Which movie directed by Michael Lembeck features Siobhan Murphy?
Michael Zinberg,J. Grant Albrecht,The Guardian,Which movie directed by Michael Zinberg features J. Grant Albrecht?
Michael Zinberg,Richard Topol,The Guardian,Which movie directed by Michael Zinberg features Richard Topol?
Michael Zinberg,Rod Britt,The Guardian,Which movie directed by Michael Zinberg features Rod Britt?
Minden Male Academy,,Jeremiah S. Bacon,Which United States politician was educated at Minden Male Academy
Mir yeshiva (Brooklyn),,Meir Kahane,Which United States politician was educated at Mir yeshiva (Brooklyn)
Miraleste High School,,Bart LeBon,Which United States politician was educated at Miraleste High School
Miss Hall's School,,Zelia Peet Ruebhausen,Which United States politician was educated at Miss Hall's School
Montezuma-Cortez High School,,Scott Tipton,Which United States politician was educated at Montezuma-Cortez High School
Montgomery County Community College,,Nancy Guenst,Which United States politician was educated at Montgomery County Community College
Monticello High School,,Mark Green,Which United States politician was educated at Monticello High School
Montpelier High School,,Jon Husted,Which United States politician was educated at Montpelier High School
Morristown-Hamblen High School West,,Tilman Goins,Which United States politician was educated at Morristown-Hamblen High School West
Moulton-Udell High School,,Austin Harris,Which United States politician was educated at Moulton-Udell High School
Mount Aloysius College,,Patricia Egan Jones,Which United States politician was educated at Mount Aloysius College
Mount Desert Island High School,,Matthew Dunlap,Which United States politician was educated at Mount Desert Island High School
Mount Marty University,,"Bernie Hunhoff, Kristi Noem",Which United States politician was educated at Mount Marty University
Mount Saint Agnes College,,Barbara Mikulski,Which United States politician was educated at Mount Saint Agnes College
Mount Saint Mary College,,"J. Gail Barry, Jane Garvey",Which United States politician was educated at Mount Saint Mary College
Mount Wachusett Community College,,Robert A. Hall,Which United States politician was educated at Mount Wachusett Community College
Mount Zion High School,,Howard Warren Buffett,Which United States politician was educated at Mount Zion High School
National University of Tainan Affiliated Primary School,,Hsiao Bi-khim,Which United States politician was educated at National University of Tainan Affiliated Primary School
Nevada High School,,"Bill Phelps, Ed Emery",Which United States politician was educated at Nevada High School
Newcastle High School,,Anthony Sykes,Which United States politician was educated at Newcastle High School
Newport High School,,Kaneaster Hodges Jr.,Which United States politician was educated at Newport High School
Niagara Catholic High School,,Robert Restaino,Which United States politician was educated at Niagara Catholic High School
Night School,,Karl Stefan,Which United States politician was educated at Night School
Noelani Elementary School,,Barack Obama,Which United States politician was educated at Noelani Elementary School
Nokomis Regional High School,,"Joshua Tardy, Dean Cray, Aaron Frey",Which United States politician was educated at Nokomis Regional High School
Norman Adrian Wiggins School of Law,,"Elaine Marshall, John Hutchinson",Which United States politician was educated at Norman Adrian Wiggins School of Law
Norman Taurog,David Holt,The Big Broadcast of 1936,Which movie directed by Norman Taurog features David Holt?
North Carolina,,Vince Foster,Which United States politician was educated at North Carolina
North Moore High School,,John Edwards,Which United States politician was educated at North Moore High School
Northeast Jones High School,,Marsha Blackburn,Which United States politician was educated at Northeast Jones High School
Northern Marianas College,,Luella Marciano,Which United States politician was educated at Northern Marianas College
Northland International University,,Lee Chatfield,Which United States politician was educated at Northland International University
Orangefield High School (Texas),,Michael Berry,Which United States politician was educated at Orangefield High School (Texas)
Oscar Apfel,Irene Howley,Half a Chance,Which movie directed by Oscar Apfel features Irene Howley?
Oscar Apfel,Juan de la Cruz,Peer Gynt,Which movie directed by Oscar Apfel features Juan de la Cruz?
Owego Free Academy,,Kevin Crutchfield,Which United States politician was educated at Owego Free Academy
Parker College,,Charles Raymond Robertson,Which United States politician was educated at Parker College
Pascagoula High School,,Mike Ezell,Which United States politician was educated at Pascagoula High School
Patrick Henry High School,,Israel O'Quinn,Which United States politician was educated at Patrick Henry High School
Payette High School,,James A. McClure,Which United States politician was educated at Payette High School
Pelham High School,,Guy Comtois,Which United States politician was educated at Pelham High School
Phil Rosen,Maria Alba,Kiss of Araby,Which movie directed by Phil Rosen features Maria Alba?
Phil Rosen,William Courtleigh,Handle With Care,Which movie directed by Phil Rosen features William Courtleigh?
Phil Rosen,William Ellingford,The Road to Divorce,Which movie directed by Phil Rosen features William Ellingford?
Phil Rosen,William F. Moran,The Path She Chose,Which movie directed by Phil Rosen features William F. Moran?
Philadelphia College of Pharmacy,,"David Clarence Gibboney, George M. Eckels",Which United States politician was educated at Philadelphia College of Pharmacy
Pierce Academy,,Leonard Wood,Which United States politician was educated at Pierce Academy
Point Breeze,,Voranus Lothrop Coffin IV,Which United States politician was educated at Point Breeze
Premonstratensian St. Norbert Secondary School,,Pál Fábry,Which United States politician was educated at Premonstratensian St. Norbert Secondary School
Premont High School,,José Manuel Lozano,Which United States politician was educated at Premont High School
Princeton Community Middle School,,Vivek Ramaswamy,Which United States politician was educated at Princeton Community Middle School
Purnell Swett High School,,Jarrod Lowery,Which United States politician was educated at Purnell Swett High School
R.B. Stall High School,,Tim Scott,Which United States politician was educated at R.B. Stall High School
Radford School,,Sandra Day O'Connor,Which United States politician was educated at Radford School
Ralph Ince,Harry Tighe,Red Foam,Which movie directed by Ralph Ince features Harry Tighe?
Ralph Ince,Louise Prussing,His Wife's Money,Which movie directed by Ralph Ince features Louise Prussing?
Raoul Walsh,Carlo Liten,The Strongest,Which movie directed by Raoul Walsh features Carlo Liten?
Raoul Walsh,Horst von der Goltz,The Prussian Cur,Which movie directed by Raoul Walsh features Horst von der Goltz?
Raoul Walsh,James Kenney,Captain Horatio Hornblower R.N.,Which movie directed by Raoul Walsh features James Kenney?
Raoul Walsh,John Rogers,Klondike Annie,Which movie directed by Raoul Walsh features John Rogers?
Raoul Walsh,Mary Parker,St. Louis Blues,Which movie directed by Raoul Walsh features Mary Parker?
Ray Taylor,Maria Alba,The Return of Chandu,Which movie directed by Ray Taylor features Maria Alba?
Rich Correll,Chad Power,Step by Step,Which movie directed by Rich Correll features Chad Power?
Rich Correll,Christopher Castile,Step by Step,Which movie directed by Rich Correll features Christopher Castile?
Rich Correll,Will Buie Jr.,Bunk'd,Which movie directed by Rich Correll features Will Buie Jr.?
Richard Oswald,Alfred Kühne,Manolescu's Memoirs,Which movie directed by Richard Oswald features Alfred Kühne?
Richard Oswald,Arthur Wellin,"Lützow's Wild Hunt, The Picture of Dorian Gray",Which movie directed by Richard Oswald features Arthur Wellin?
Richard Oswald,Gertrud Eysoldt,The Transformation of Dr. Bessel,Which movie directed by Richard Oswald features Gertrud Eysoldt?
Richard Oswald,Hans Peppler,1914,Which movie directed by Richard Oswald features Hans Peppler?
Richard Thorpe,Jack Churchill,Ivanhoe,Which movie directed by Richard Thorpe features Jack Churchill?
Richard Thorpe,Peter Welch,The House of the Seven Hawks,Which movie directed by Richard Thorpe features Peter Welch?
Riverside High School,,Kenneth William Faulkner,Which United States politician was educated at Riverside High School
Robert G. Vignola,Arthur Forrest,When Knighthood Was in Flower,Which movie directed by Robert G. Vignola features Arthur Forrest?
Robert G. Vignola,Helen Lindroth,"The Lost Diamond, Don Caesar de Bazan",Which movie directed by Robert G. Vignola features Helen Lindroth?
Robert Z. Leonard,Gia Kent,Pride and Prejudice,Which movie directed by Robert Z. Leonard features Gia Kent?
Robert Z. Leonard,Joan Elan,The King's Thief,Which movie directed by Robert Z. Leonard features Joan Elan?
Robert Z. Leonard,Madeline Marshall,April Folly,Which movie directed by Robert Z. Leonard features Madeline Marshall?
Robert Z. Leonard,Marten Lamont,Pride and Prejudice,Which movie directed by Robert Z. Leonard features Marten Lamont?
Rock Port High School,,Hardin Cox,Which United States politician was educated at Rock Port High School
Rogers Hall School,,Edith Nourse Rogers,Which United States politician was educated at Rogers Hall School
Rogersville,,Ken Givens,Which United States politician was educated at Rogersville
Rosa von Praunheim,Bela Ewald Althans,"Men, Heroes and Gay Nazis",Which movie directed by Rosa von Praunheim features Bela Ewald Althans?
Rosa von Praunheim,Charles Ludlam,Underground and Emigrants,Which movie directed by Rosa von Praunheim features Charles Ludlam?
Rosa von Praunheim,Christian Kesten,A Virus Knows No Morals,Which movie directed by Rosa von Praunheim features Christian Kesten?
Rosa von Praunheim,Cyril Tuschi,Praunheim Memoires,Which movie directed by Rosa von Praunheim features Cyril Tuschi?
Rosa von Praunheim,Désirée Nick,Neurosia: 50 Years of Perversity,Which movie directed by Rosa von Praunheim features Désirée Nick?
Rosa von Praunheim,Joaquín La Habana,"City of Lost Souls, Horror vacui",Which movie directed by Rosa von Praunheim features Joaquín La Habana?
Rosa von Praunheim,Manfred Salzgeber,"It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives",Which movie directed by Rosa von Praunheim features Manfred Salzgeber?
Rosa von Praunheim,Thilo von Trotha,A Virus Knows No Morals,Which movie directed by Rosa von Praunheim features Thilo von Trotha?
Roy William Neill,Gretchen Hartman,The Bandbox,Which movie directed by Roy William Neill features Gretchen Hartman?
Roy William Neill,William Post Jr.,Sherlock Holmes and the Secret Weapon,Which movie directed by Roy William Neill features William Post Jr.?
Royal High School,,Stan Kitzman,Which United States politician was educated at Royal High School
Rutgers University School of Social Work,,Joann Downey,Which United States politician was educated at Rutgers University School of Social Work
Saint Basil Academy,,Olympia Snowe,Which United States politician was educated at Saint Basil Academy
Sam Newfield,David Holt,She Shoulda Said No!,Which movie directed by Sam Newfield features David Holt?
Saved by the Bell,Peter Engel,"Dancing to the Max, The Lisa Card, The Mamas and the Papas, The Zack Tapes",Which episode of Saved by the Bell was written by Peter Engel?
Saved by the Bell,R.J. Colleary,"Screech's Woman, The Election",Which episode of Saved by the Bell was written by R.J. Colleary?
Shafter High School,,Dean Florez,Which United States politician was educated at Shafter High School
Shiloh College,,John A. Logan,Which United States politician was educated at Shiloh College
Smith School of Business,,Elon Musk,Which United States politician was educated at Smith School of Business
Sonic the Hedgehog,Duncan Rouleau,Sonic Prime,Which episode of Sonic the Hedgehog was written by Duncan Rouleau?
Sonic the Hedgehog,Ian Flynn,"Sonic Origins, Sonic Frontiers",Which episode of Sonic the Hedgehog was written by Ian Flynn?
Sonic the Hedgehog,Shun Nakamura,Sonic Forces,Which episode of Sonic the Hedgehog was written by Shun Nakamura?
Soule Business College,,Thomas Chipman McRae,Which United States politician was educated at Soule Business College
South Kentucky College,,Washington E. Hudson,Which United States politician was educated at South Kentucky College
Southfield Christian School,,Tim Donnelly,Which United States politician was educated at Southfield Christian School
Spencer Gordon Bennet,"House Peters, Jr.",Batman and Robin,"Which movie directed by Spencer Gordon Bennet features House Peters, Jr.?"
St. John Cantius Parish,,Dennis Kucinich,Which United States politician was educated at St. John Cantius Parish
St. John High School,,Steven Palazzo,Which United States politician was educated at St. John High School
St. Louis College of Physicians and Surgeons,,T. A. Penney,Which United States politician was educated at St. Louis College of Physicians and Surgeons
St. Mary's Episcopal School,,Tami Sawyer,Which United States politician was educated at St. Mary's Episcopal School
St. Stephens High School,,Mark K. Hilton,Which United States politician was educated at St. Stephens High School
Star Trek: Deep Space Nine,David Alan Mack,Starship Down,Which episode of Star Trek: Deep Space Nine was written by David Alan Mack?
Star Trek: Deep Space Nine,John J. Ordover,Starship Down,Which episode of Star Trek: Deep Space Nine was written by John J. Ordover?
Star Trek: Deep Space Nine,Katharyn Powers,Past Prologue,Which episode of Star Trek: Deep Space Nine was written by Katharyn Powers?
Star Trek: Deep Space Nine,Robert Lederman,"The Assignment, Improbable Cause",Which episode of Star Trek: Deep Space Nine was written by Robert Lederman?
Star Trek: The Original Series,Adrian Spies,Miri,Which episode of Star Trek: The Original Series was written by Adrian Spies?
Star Trek: The Original Series,Art Wallace,"Assignment: Earth, Obsession",Which episode of Star Trek: The Original Series was written by Art Wallace?
Star Trek: The Original Series,Arthur Heinemann,"The Savage Curtain, Wink of an Eye, The Way to Eden",Which episode of Star Trek: The Original Series was written by Arthur Heinemann?
Star Trek: The Original Series,Arthur Singer,Turnabout Intruder,Which episode of Star Trek: The Original Series was written by Arthur Singer?
Star Trek: The Original Series,Barry Trivers,The Conscience of the King,Which episode of Star Trek: The Original Series was written by Barry Trivers?
Star Trek: The Original Series,Boris Sobelman,The Return of the Archons,Which episode of Star Trek: The Original Series was written by Boris Sobelman?
Star Trek: The Original Series,Jean Lisette Aroeste,"All Our Yesterdays, Is There in Truth No Beauty?",Which episode of Star Trek: The Original Series was written by Jean Lisette Aroeste?
Star Trek: The Original Series,John T. Dugan,Return to Tomorrow,Which episode of Star Trek: The Original Series was written by John T. Dugan?
Star Trek: The Original Series,Joyce Muskat,The Empath,Which episode of Star Trek: The Original Series was written by Joyce Muskat?
Star Trek: The Original Series,Judy Burns,The Tholian Web,Which episode of Star Trek: The Original Series was written by Judy Burns?
Star Trek: The Original Series,Lee Erwin,Whom Gods Destroy,Which episode of Star Trek: The Original Series was written by Lee Erwin?
Star Trek: The Original Series,Max Ehrlich,The Apple,Which episode of Star Trek: The Original Series was written by Max Ehrlich?
Star Trek: The Original Series,Norman Spinrad,The Doomsday Machine,Which episode of Star Trek: The Original Series was written by Norman Spinrad?
Star Trek: The Original Series,Paul Schneider,"Balance of Terror, The Squire of Gothos",Which episode of Star Trek: The Original Series was written by Paul Schneider?
Star Trek: The Original Series,Rik Vollaerts,For the World Is Hollow and I Have Touched the Sky,Which episode of Star Trek: The Original Series was written by Rik Vollaerts?
Star Trek: The Original Series,Robert Hamner,A Taste of Armageddon,Which episode of Star Trek: The Original Series was written by Robert Hamner?
Star Trek: The Original Series,Robert Sabaroff,The Immunity Syndrome,Which episode of Star Trek: The Original Series was written by Robert Sabaroff?
Star Trek: The Original Series,Samuel A. Peeples,Where No Man Has Gone Before,Which episode of Star Trek: The Original Series was written by Samuel A. Peeples?
Star Trek: The Original Series,Shari Lewis,The Lights of Zetar,Which episode of Star Trek: The Original Series was written by Shari Lewis?
Star Trek: The Original Series,Stanley Adams,The Mark of Gideon,Which episode of Star Trek: The Original Series was written by Stanley Adams?
Star Trek: The Original Series,Steven W. Carabatsos,"Operation – Annihilate!, Court Martial",Which episode of Star Trek: The Original Series was written by Steven W. Carabatsos?
Stephens High School,,Tommy Davis,Which United States politician was educated at Stephens High School
Sutherlin High School,,Steve M. Thompson,Which United States politician was educated at Sutherlin High School
Sveriges Radio's Christmas Calendar,Lasse Åkerlund,Trollet med den gula kepsen,Which episode of Sveriges Radio's Christmas Calendar was written by Lasse Åkerlund?
Takashi Miike,Anri Okamoto,Yatterman,Which movie directed by Takashi Miike features Anri Okamoto?
Takashi Miike,Asanagi Rin,The Third Gangster,Which movie directed by Takashi Miike features Asanagi Rin?
Takashi Miike,Chiaki Takahashi,Yatterman,Which movie directed by Takashi Miike features Chiaki Takahashi?
Takashi Miike,Chihara Junior,Young Thugs: Innocent Blood,Which movie directed by Takashi Miike features Chihara Junior?
Takashi Miike,Chinatsu Yada,One Missed Call,Which movie directed by Takashi Miike features Chinatsu Yada?
Takashi Miike,Don'u Min,Imprint,Which movie directed by Takashi Miike features Don'u Min?
Takashi Miike,Joe Yamanaka,Deadly Outlaw: Rekka,Which movie directed by Takashi Miike features Joe Yamanaka?
Takashi Miike,Jun Matsuda,"Man, A Natural Girl",Which movie directed by Takashi Miike features Jun Matsuda?
Takashi Miike,Kiyoshi Nakajō,The Third Gangster,Which movie directed by Takashi Miike features Kiyoshi Nakajō?
Takashi Miike,Kiyoshiro Imawano,"The Great Yokai War, The Happiness of the Katakuris",Which movie directed by Takashi Miike features Kiyoshiro Imawano?
Takashi Miike,Masahiko Sakata,The Third Gangster,Which movie directed by Takashi Miike features Masahiko Sakata?
Takashi Miike,Masataka Iwao,The Third Gangster,Which movie directed by Takashi Miike features Masataka Iwao?
Takashi Miike,Michie,Imprint,Which movie directed by Takashi Miike features Michie?
Takashi Miike,Minosuke,Lumberjack the Monster,Which movie directed by Takashi Miike features Minosuke?
Takashi Miike,Rina Usukura,Idol × Warrior Miracle Tunes!,Which movie directed by Takashi Miike features Rina Usukura?
Takashi Miike,Ryūji Shinagawa,The Third Gangster,Which movie directed by Takashi Miike features Ryūji Shinagawa?
Takashi Miike,Saeko,Like a Dragon,Which movie directed by Takashi Miike features Saeko?
Takashi Miike,Saki Fukuda,Yatterman,Which movie directed by Takashi Miike features Saki Fukuda?
Takashi Miike,Seiji Chihara,Young Thugs: Innocent Blood,Which movie directed by Takashi Miike features Seiji Chihara?
Takashi Miike,Shigeru Inoue,The Third Gangster,Which movie directed by Takashi Miike features Shigeru Inoue?
Takashi Miike,Shihō Harumi,Imprint,Which movie directed by Takashi Miike features Shihō Harumi?
Takashi Miike,Shoko Aida,The Man in White,Which movie directed by Takashi Miike features Shoko Aida?
Takashi Miike,TEAH,Like a Dragon,Which movie directed by Takashi Miike features TEAH?
Takashi Miike,Takaaki Ishibashi,Sukiyaki Western Django,Which movie directed by Takashi Miike features Takaaki Ishibashi?
Takashi Miike,Takao Handa,Imprint,Which movie directed by Takashi Miike features Takao Handa?
Takashi Miike,Takashi Itō,Like a Dragon,Which movie directed by Takashi Miike features Takashi Itō?
Takashi Miike,Tetsuya Yūki,The Third Gangster,Which movie directed by Takashi Miike features Tetsuya Yūki?
Takashi Miike,Tomohiko Imai,Lumberjack the Monster,Which movie directed by Takashi Miike features Tomohiko Imai?
Takashi Miike,Tsutomu Takahashi,Crows Zero 2,Which movie directed by Takashi Miike features Tsutomu Takahashi?
Takashi Miike,Yamada Mame,Imprint,Which movie directed by Takashi Miike features Yamada Mame?
Takashi Miike,Yasuji Kimura,Lumberjack the Monster,Which movie directed by Takashi Miike features Yasuji Kimura?
Takashi Miike,Yoshie Kashiwabara,Lady Hunter: Prelude To Murder,Which movie directed by Takashi Miike features Yoshie Kashiwabara?
Takashi Miike,Yoshihisa Amano,Hara-Kiri: Death of a Samurai,Which movie directed by Takashi Miike features Yoshihisa Amano?
Takashi Miike,Yoshiyuki Ōmori,The Third Gangster,Which movie directed by Takashi Miike features Yoshiyuki Ōmori?
Takashi Miike,Yuki Matsuoka,"Man, A Natural Girl",Which movie directed by Takashi Miike features Yuki Matsuoka?
Takashi Miike,Yuki Miyoshi,Magical × Heroine Magimajo Pures!,Which movie directed by Takashi Miike features Yuki Miyoshi?
Takashi Miike,Yutaka Matsuzaki,Imprint,Which movie directed by Takashi Miike features Yutaka Matsuzaki?
Takashi Miike,Yutaka Yamakawa,The Third Gangster,Which movie directed by Takashi Miike features Yutaka Yamakawa?
Takashi Miike,Yūra Sugiura,Police × Heroine Lovepatrina!,Which movie directed by Takashi Miike features Yūra Sugiura?
Tatort with Ballauf and Schenk,Achim Scholz,Tatort: Müll,Which episode of Tatort with Ballauf and Schenk was written by Achim Scholz?
Tatort with Ballauf and Schenk,Christine Hartmann,Tatort: Kaputt,Which episode of Tatort with Ballauf and Schenk was written by Christine Hartmann?
Tatort with Ballauf and Schenk,Christoph Wortberg,"Tatort: Familien, Tatort: Nachbarn, Tatort: Gefangen",Which episode of Tatort with Ballauf and Schenk was written by Christoph Wortberg?
Tatort with Ballauf and Schenk,Edgar von Cossart,"Tatort: Kinder der Gewalt, Tatort: Kindstod",Which episode of Tatort with Ballauf and Schenk was written by Edgar von Cossart?
Tatort with Ballauf and Schenk,Feo Aladag,Tatort: Mutterliebe,Which episode of Tatort with Ballauf and Schenk was written by Feo Aladag?
Tatort with Ballauf and Schenk,Frank Posiadly,Tatort: Schürfwunden,Which episode of Tatort with Ballauf and Schenk was written by Frank Posiadly?
Tatort with Ballauf and Schenk,Hannes Stöhr,Tatort: Odins Rache,Which episode of Tatort with Ballauf and Schenk was written by Hannes Stöhr?
Tatort with Ballauf and Schenk,Hans Werner,Tatort: Familienbande,Which episode of Tatort with Ballauf and Schenk was written by Hans Werner?
Tatort with Ballauf and Schenk,Jens Maria Merz,Tatort: Benutzt,Which episode of Tatort with Ballauf and Schenk was written by Jens Maria Merz?
Tatort with Ballauf and Schenk,Lars Böhme,Tatort: Familienbande,Which episode of Tatort with Ballauf and Schenk was written by Lars Böhme?
Tatort with Ballauf and Schenk,Maxim Leo,Tatort: Wahre Liebe,Which episode of Tatort with Ballauf and Schenk was written by Maxim Leo?
Tatort with Ballauf and Schenk,Nina Hoger,Tatort: Hundeleben,Which episode of Tatort with Ballauf and Schenk was written by Nina Hoger?
Tatort with Ballauf and Schenk,Patrick Gurris,Tatort: Erfroren,Which episode of Tatort with Ballauf and Schenk was written by Patrick Gurris?
Tatort with Ballauf and Schenk,Peter Dommaschk,Tatort: Kaltes Herz,Which episode of Tatort with Ballauf and Schenk was written by Peter Dommaschk?
Tatort with Ballauf and Schenk,Peter Goslicki,"Tatort: Verraten und verkauft, Tatort: Familienbande",Which episode of Tatort with Ballauf and Schenk was written by Peter Goslicki?
Tatort with Ballauf and Schenk,Ralf Leuther,Tatort: Kaltes Herz,Which episode of Tatort with Ballauf and Schenk was written by Ralf Leuther?
Tatort with Ballauf and Schenk,Roswitha Seidel,Tatort: Bermuda,Which episode of Tatort with Ballauf and Schenk was written by Roswitha Seidel?
Tatort with Ballauf and Schenk,Sonja Goslicki,Tatort: Kindstod,Which episode of Tatort with Ballauf and Schenk was written by Sonja Goslicki?
Tatort with Ballauf and Schenk,Stephan Wuschansky,Tatort: Schmale Schultern,Which episode of Tatort with Ballauf and Schenk was written by Stephan Wuschansky?
Tatort with Ballauf and Schenk,Ulrich Brandt,Tatort: Schmale Schultern,Which episode of Tatort with Ballauf and Schenk was written by Ulrich Brandt?
Tatort with Ballauf and Schenk,Wolfgang Wysocki,Tatort: Bausünden,Which episode of Tatort with Ballauf and Schenk was written by Wolfgang Wysocki?
Tatort with Ballauf and Schenk,Züli Aladağ,Tatort: Mutterliebe,Which episode of Tatort with Ballauf and Schenk was written by Züli Aladağ?
Tatort with Batic and Leitmayr,Andreas Morell,Tatort: Die chinesische Methode,Which episode of Tatort with Batic and Leitmayr was written by Andreas Morell?
Tatort with Batic and Leitmayr,Bartosz Grudziecki,Tatort: Hardcore,Which episode of Tatort with Batic and Leitmayr was written by Bartosz Grudziecki?
Tatort with Batic and Leitmayr,Christoph Stark,Tatort: Schau mich an,Which episode of Tatort with Batic and Leitmayr was written by Christoph Stark?
Tatort with Batic and Leitmayr,Daniel Wolf,Tatort: Ein ganz normaler Fall,Which episode of Tatort with Batic and Leitmayr was written by Daniel Wolf?
Tatort with Batic and Leitmayr,Daniela Mohr,Tatort: Gestern war kein Tag,Which episode of Tatort with Batic and Leitmayr was written by Daniela Mohr?
Tatort with Batic and Leitmayr,Gisela Weilemann,Tatort: Vorstadtballade,Which episode of Tatort with Batic and Leitmayr was written by Gisela Weilemann?
Tatort with Batic and Leitmayr,Hans Dräxler,Tatort: Ein Sommernachtstraum,Which episode of Tatort with Batic and Leitmayr was written by Hans Dräxler?
Tatort with Batic and Leitmayr,Ingeborg Bellmann,Tatort: Häschen in der Grube,Which episode of Tatort with Batic and Leitmayr was written by Ingeborg Bellmann?
Tatort with Batic and Leitmayr,Ingmar Gregorzewski,Tatort: Viktualienmarkt,Which episode of Tatort with Batic and Leitmayr was written by Ingmar Gregorzewski?
Tatort with Batic and Leitmayr,Johanna Thalmann,Tatort: Dreams,Which episode of Tatort with Batic and Leitmayr was written by Johanna Thalmann?
Tatort with Batic and Leitmayr,Josef Rödl,"Tatort: Schattenwelt, Tatort: Alles Palermo",Which episode of Tatort with Batic and Leitmayr was written by Josef Rödl?
Tatort with Batic and Leitmayr,Klaus Bädekerl,Tatort: Totentanz,Which episode of Tatort with Batic and Leitmayr was written by Klaus Bädekerl?
Tatort with Batic and Leitmayr,Markus Fenner,"Tatort: Tod auf der Walz, Tatort: Der Fremdwohner, Tatort: Gesang der toten Dinge",Which episode of Tatort with Batic and Leitmayr was written by Markus Fenner?
Tatort with Batic and Leitmayr,Michael Wogh,Tatort: Starkbier,Which episode of Tatort with Batic and Leitmayr was written by Michael Wogh?
Tatort with Batic and Leitmayr,Moritz Binder,Tatort: Dreams,Which episode of Tatort with Batic and Leitmayr was written by Moritz Binder?
Tatort with Batic and Leitmayr,Peter Fratzscher,Tatort: Im Visier,Which episode of Tatort with Batic and Leitmayr was written by Peter Fratzscher?
Tatort with Batic and Leitmayr,Robert Hültner,Tatort: Vorstadtballade,Which episode of Tatort with Batic and Leitmayr was written by Robert Hültner?
Tatort with Batic and Leitmayr,Sabine Bühring,Tatort: Im Visier,Which episode of Tatort with Batic and Leitmayr was written by Sabine Bühring?
Tatort with Batic and Leitmayr,Volker Maria Arend,Tatort: Die chinesische Methode,Which episode of Tatort with Batic and Leitmayr was written by Volker Maria Arend?
Tatort with Lena Odenthal,Annette Bassfeld-Schepers,"Tatort: Schatten der Angst, Tatort: Gefährliches Schweigen",Which episode of Tatort with Lena Odenthal was written by Annette Bassfeld-Schepers?
Tatort with Lena Odenthal,Dominik Reding,Tatort: Fette Krieger,Which episode of Tatort with Lena Odenthal was written by Dominik Reding?
Tatort with Lena Odenthal,Hans Gerd Müller-Welters,Tatort: Tod einer Lehrerin,Which episode of Tatort with Lena Odenthal was written by Hans Gerd Müller-Welters?
Tatort with Lena Odenthal,Isolde Sammer,Tatort: Nachtwanderer,Which episode of Tatort with Lena Odenthal was written by Isolde Sammer?
Tatort with Lena Odenthal,Josh Broecker,Tatort: Tödliche Häppchen,Which episode of Tatort with Lena Odenthal was written by Josh Broecker?
Tatort with Lena Odenthal,Jürgen Starbatty,Tatort: Die dunkle Seite,Which episode of Tatort with Lena Odenthal was written by Jürgen Starbatty?
Tatort with Lena Odenthal,Karlotta Ehrenberg,Tatort: Marlon,Which episode of Tatort with Lena Odenthal was written by Karlotta Ehrenberg?
Tatort with Lena Odenthal,Martin Pristl,"Tatort: Flashback, Tatort: Ohne Beweise",Which episode of Tatort with Lena Odenthal was written by Martin Pristl?
Tatort with Lena Odenthal,Nico Hofmann,Tatort: Tod im Häcksler,Which episode of Tatort with Lena Odenthal was written by Nico Hofmann?
Tatort with Lena Odenthal,Stephan Falk,Tatort: Kassensturz,Which episode of Tatort with Lena Odenthal was written by Stephan Falk?
Tatort with Max Ballauf,Frank Posiadly,Tatort: Schürfwunden,Which episode of Tatort with Max Ballauf was written by Frank Posiadly?
