entity1,entity2,question
Frozen,Jennifer Lee,In which year did 'Frozen' directed by Jennifer Lee win an Emmy?
Frozen,Chris Buck,In which year did 'Frozen' directed by Chris Buck win an Emmy?
Spirited Away,Hayao Miyazaki,In which year did 'Spirited Away' directed by Hayao Miyazaki win an Emmy?
Dumbo,Norm Ferguson,In which year did 'Dumbo' directed by Norm Ferguson win an Emmy?
Dumbo,Jack Kinney,In which year did 'Dumbo' directed by Jack Kinney win an Emmy?
Dumbo,Ben Sharpsteen,In which year did 'Dumbo' directed by Ben Sharpsteen win an Emmy?
Dumbo,Wilfred Jackson,In which year did 'Dumbo' directed by Wilfred Jackson win an Emmy?
Dumbo,Samuel Armstrong,In which year did 'Dumbo' directed by Samuel Armstrong win an Emmy?
Dumbo,Bill Roberts,In which year did 'Dumbo' directed by Bill Roberts win an Emmy?
Gladiator,Ridley Scott,In which year did 'Gladiator' directed by Ridley Scott win an Emmy?
Squid Game,Hwang Dong-hyeok,In which year did 'Squid Game' directed by Hwang Dong-hyeok win an Emmy?
Casablanca,Michael Curtiz,In which year did 'Casablanca' directed by Michael Curtiz win an Emmy?
As Aventuras de Gui & Estopa,Mariana Caltabiano,In which year did 'As Aventuras de Gui & Estopa' directed by Mariana Caltabiano win an Emmy?
Pulp Fiction,Quentin Tarantino,In which year did 'Pulp Fiction' directed by Quentin Tarantino win an Emmy?
The Shawshank Redemption,Frank Darabont,In which year did 'The Shawshank Redemption' directed by Frank Darabont win an Emmy?
The Dark Knight,Christopher Nolan,In which year did 'The Dark Knight' directed by Christopher Nolan win an Emmy?
Aladdin,John Musker,In which year did 'Aladdin' directed by John Musker win an Emmy?
Aladdin,Ron Clements,In which year did 'Aladdin' directed by Ron Clements win an Emmy?
Cinderella,Clyde Geronimi,In which year did 'Cinderella' directed by Clyde Geronimi win an Emmy?
Cinderella,Hamilton Luske,In which year did 'Cinderella' directed by Hamilton Luske win an Emmy?
Cinderella,Wilfred Jackson,In which year did 'Cinderella' directed by Wilfred Jackson win an Emmy?
Back to the Future,Robert Zemeckis,In which year did 'Back to the Future' directed by Robert Zemeckis win an Emmy?
Schindler's List,Steven Spielberg,In which year did 'Schindler's List' directed by Steven Spielberg win an Emmy?
Fight Club,David Fincher,In which year did 'Fight Club' directed by David Fincher win an Emmy?
The Silence of the Lambs,Jonathan Demme,In which year did 'The Silence of the Lambs' directed by Jonathan Demme win an Emmy?
Breaking Bad,Jim McKay,In which year did 'Breaking Bad' directed by Jim McKay win an Emmy?
Breaking Bad,George Mastras,In which year did 'Breaking Bad' directed by George Mastras win an Emmy?
Breaking Bad,Johan Renck,In which year did 'Breaking Bad' directed by Johan Renck win an Emmy?
Breaking Bad,Sam Catlin,In which year did 'Breaking Bad' directed by Sam Catlin win an Emmy?
Breaking Bad,Rian Johnson,In which year did 'Breaking Bad' directed by Rian Johnson win an Emmy?
Breaking Bad,Phil Abraham,In which year did 'Breaking Bad' directed by Phil Abraham win an Emmy?
Breaking Bad,Félix Enríquez Alcalá,In which year did 'Breaking Bad' directed by Félix Enríquez Alcalá win an Emmy?
Breaking Bad,Peter Medak,In which year did 'Breaking Bad' directed by Peter Medak win an Emmy?
Breaking Bad,Peter Gould,In which year did 'Breaking Bad' directed by Peter Gould win an Emmy?
Breaking Bad,Michelle MacLaren,In which year did 'Breaking Bad' directed by Michelle MacLaren win an Emmy?
Breaking Bad,Michael Slovis,In which year did 'Breaking Bad' directed by Michael Slovis win an Emmy?
Breaking Bad,John Shiban,In which year did 'Breaking Bad' directed by John Shiban win an Emmy?
Breaking Bad,John Dahl,In which year did 'Breaking Bad' directed by John Dahl win an Emmy?
Breaking Bad,Scott Winant,In which year did 'Breaking Bad' directed by Scott Winant win an Emmy?
Breaking Bad,Terry McDonough,In which year did 'Breaking Bad' directed by Terry McDonough win an Emmy?
Breaking Bad,Thomas Schnauz,In which year did 'Breaking Bad' directed by Thomas Schnauz win an Emmy?
Breaking Bad,Tim Hunter,In which year did 'Breaking Bad' directed by Tim Hunter win an Emmy?
Breaking Bad,Tricia Brock,In which year did 'Breaking Bad' directed by Tricia Brock win an Emmy?
Breaking Bad,Vince Gilligan,In which year did 'Breaking Bad' directed by Vince Gilligan win an Emmy?
Breaking Bad,David Slade,In which year did 'Breaking Bad' directed by David Slade win an Emmy?
Breaking Bad,Colin Bucksey,In which year did 'Breaking Bad' directed by Colin Bucksey win an Emmy?
Breaking Bad,Charles Haid,In which year did 'Breaking Bad' directed by Charles Haid win an Emmy?
Breaking Bad,Bryan Cranston,In which year did 'Breaking Bad' directed by Bryan Cranston win an Emmy?
Breaking Bad,Bronwen Hughes,In which year did 'Breaking Bad' directed by Bronwen Hughes win an Emmy?
Breaking Bad,Adam Bernstein,In which year did 'Breaking Bad' directed by Adam Bernstein win an Emmy?
Lady and the Tramp,Clyde Geronimi,In which year did 'Lady and the Tramp' directed by Clyde Geronimi win an Emmy?
Lady and the Tramp,Hamilton Luske,In which year did 'Lady and the Tramp' directed by Hamilton Luske win an Emmy?
Lady and the Tramp,Wilfred Jackson,In which year did 'Lady and the Tramp' directed by Wilfred Jackson win an Emmy?
Jurassic Park,Steven Spielberg,In which year did 'Jurassic Park' directed by Steven Spielberg win an Emmy?
Oliver & Company,George Scribner,In which year did 'Oliver & Company' directed by George Scribner win an Emmy?
The Terminator,James Cameron,In which year did 'The Terminator' directed by James Cameron win an Emmy?
Beauty and the Beast,Gary Trousdale,In which year did 'Beauty and the Beast' directed by Gary Trousdale win an Emmy?
Beauty and the Beast,Kirk Wise,In which year did 'Beauty and the Beast' directed by Kirk Wise win an Emmy?
Harry Potter and the Philosopher's Stone,Chris Columbus,In which year did 'Harry Potter and the Philosopher's Stone' directed by Chris Columbus win an Emmy?
Interstellar,Christopher Nolan,In which year did 'Interstellar' directed by Christopher Nolan win an Emmy?
V for Vendetta,James McTeigue,In which year did 'V for Vendetta' directed by James McTeigue win an Emmy?
Gone with the Wind,George Cukor,In which year did 'Gone with the Wind' directed by George Cukor win an Emmy?
Gone with the Wind,Sam Wood,In which year did 'Gone with the Wind' directed by Sam Wood win an Emmy?
Gone with the Wind,Victor Fleming,In which year did 'Gone with the Wind' directed by Victor Fleming win an Emmy?
Inception,Christopher Nolan,In which year did 'Inception' directed by Christopher Nolan win an Emmy?
Pinocchio,Hamilton Luske,In which year did 'Pinocchio' directed by Hamilton Luske win an Emmy?
Pinocchio,Jack Kinney,In which year did 'Pinocchio' directed by Jack Kinney win an Emmy?
Pinocchio,Norm Ferguson,In which year did 'Pinocchio' directed by Norm Ferguson win an Emmy?
Pinocchio,T. Hee,In which year did 'Pinocchio' directed by T. Hee win an Emmy?
Pinocchio,Wilfred Jackson,In which year did 'Pinocchio' directed by Wilfred Jackson win an Emmy?
Pinocchio,Bill Roberts,In which year did 'Pinocchio' directed by Bill Roberts win an Emmy?
Pinocchio,Ben Sharpsteen,In which year did 'Pinocchio' directed by Ben Sharpsteen win an Emmy?
WALL-E,Andrew Stanton,In which year did 'WALL-E' directed by Andrew Stanton win an Emmy?
The Rescuers,Wolfgang Reitherman,In which year did 'The Rescuers' directed by Wolfgang Reitherman win an Emmy?
Zootopia,Byron Howard,In which year did 'Zootopia' directed by Byron Howard win an Emmy?
Zootopia,Jared Bush,In which year did 'Zootopia' directed by Jared Bush win an Emmy?
Zootopia,Rich Moore,In which year did 'Zootopia' directed by Rich Moore win an Emmy?
The Rescuers,Art Stevens,In which year did 'The Rescuers' directed by Art Stevens win an Emmy?
The Rescuers,John Lounsbery,In which year did 'The Rescuers' directed by John Lounsbery win an Emmy?
Star Wars: Episode IV – A New Hope,George Lucas,In which year did 'Star Wars: Episode IV – A New Hope' directed by George Lucas win an Emmy?
The Avengers,Joss Whedon,In which year did 'The Avengers' directed by Joss Whedon win an Emmy?
Encanto,Charise Castro Smith,In which year did 'Encanto' directed by Charise Castro Smith win an Emmy?
Encanto,Jared Bush,In which year did 'Encanto' directed by Jared Bush win an Emmy?
Charlotte's Web,Iwao Takamoto,In which year did 'Charlotte's Web' directed by Iwao Takamoto win an Emmy?
Charlotte's Web,Charles August Nichols,In which year did 'Charlotte's Web' directed by Charles August Nichols win an Emmy?
Encanto,Byron Howard,In which year did 'Encanto' directed by Byron Howard win an Emmy?
"The Good, the Bad and the Ugly",Sergio Leone,"In which year did 'The Good, the Bad and the Ugly' directed by Sergio Leone win an Emmy?"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,In which year did 'The Lord of the Rings: The Fellowship of the Ring' directed by Peter Jackson win an Emmy?
Harry Potter and the Chamber of Secrets,Chris Columbus,In which year did 'Harry Potter and the Chamber of Secrets' directed by Chris Columbus win an Emmy?
Sesame Street,John R. Dilworth,In which year did 'Sesame Street' directed by John R. Dilworth win an Emmy?
Sesame Street,Stan Lathan,In which year did 'Sesame Street' directed by Stan Lathan win an Emmy?
The Jungle Book,Wolfgang Reitherman,In which year did 'The Jungle Book' directed by Wolfgang Reitherman win an Emmy?
Braveheart,Mel Gibson,In which year did 'Braveheart' directed by Mel Gibson win an Emmy?
Finding Nemo,Lee Unkrich,In which year did 'Finding Nemo' directed by Lee Unkrich win an Emmy?
Finding Nemo,Andrew Stanton,In which year did 'Finding Nemo' directed by Andrew Stanton win an Emmy?
One Hundred and One Dalmatians,Clyde Geronimi,In which year did 'One Hundred and One Dalmatians' directed by Clyde Geronimi win an Emmy?
Terminator 2: Judgment Day,James Cameron,In which year did 'Terminator 2: Judgment Day' directed by James Cameron win an Emmy?
One Hundred and One Dalmatians,Hamilton Luske,In which year did 'One Hundred and One Dalmatians' directed by Hamilton Luske win an Emmy?
One Hundred and One Dalmatians,Wolfgang Reitherman,In which year did 'One Hundred and One Dalmatians' directed by Wolfgang Reitherman win an Emmy?
The Lord of the Rings: The Return of the King,Peter Jackson,In which year did 'The Lord of the Rings: The Return of the King' directed by Peter Jackson win an Emmy?
Avengers: Endgame,Joe Russo,In which year did 'Avengers: Endgame' directed by Joe Russo win an Emmy?
Avengers: Endgame,Anthony Russo,In which year did 'Avengers: Endgame' directed by Anthony Russo win an Emmy?
2001: A Space Odyssey,Stanley Kubrick,In which year did '2001: A Space Odyssey' directed by Stanley Kubrick win an Emmy?
Lost,Jack Bender,In which year did 'Lost' directed by Jack Bender win an Emmy?
Lost,J. J. Abrams,In which year did 'Lost' directed by J. J. Abrams win an Emmy?
Lost,Stephen Williams,In which year did 'Lost' directed by Stephen Williams win an Emmy?
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,In which year did 'Harry Potter and the Prisoner of Azkaban' directed by Alfonso Cuarón win an Emmy?
Tangled,Byron Howard,In which year did 'Tangled' directed by Byron Howard win an Emmy?
Tangled,Nathan Greno,In which year did 'Tangled' directed by Nathan Greno win an Emmy?
Star Wars: Episode I – The Phantom Menace,George Lucas,In which year did 'Star Wars: Episode I – The Phantom Menace' directed by George Lucas win an Emmy?
House M.D.,Miguel Sapochnik,In which year did 'House M.D.' directed by Miguel Sapochnik win an Emmy?
House M.D.,Newton Thomas Sigel,In which year did 'House M.D.' directed by Newton Thomas Sigel win an Emmy?
House M.D.,Nelson McCormick,In which year did 'House M.D.' directed by Nelson McCormick win an Emmy?
House M.D.,Matt Shakman,In which year did 'House M.D.' directed by Matt Shakman win an Emmy?
House M.D.,Keith Gordon,In which year did 'House M.D.' directed by Keith Gordon win an Emmy?
House M.D.,Nick Gomez,In which year did 'House M.D.' directed by Nick Gomez win an Emmy?
House M.D.,Paris Barclay,In which year did 'House M.D.' directed by Paris Barclay win an Emmy?
House M.D.,Paul McCrane,In which year did 'House M.D.' directed by Paul McCrane win an Emmy?
House M.D.,Peter Medak,In which year did 'House M.D.' directed by Peter Medak win an Emmy?
House M.D.,Peter O'Fallon,In which year did 'House M.D.' directed by Peter O'Fallon win an Emmy?
House M.D.,Peter Weller,In which year did 'House M.D.' directed by Peter Weller win an Emmy?
House M.D.,R. Lee Ermey,In which year did 'House M.D.' directed by R. Lee Ermey win an Emmy?
House M.D.,Tim Hunter,In which year did 'House M.D.' directed by Tim Hunter win an Emmy?
House M.D.,Tim Southam,In which year did 'House M.D.' directed by Tim Southam win an Emmy?
House M.D.,Sanford Bookstaver,In which year did 'House M.D.' directed by Sanford Bookstaver win an Emmy?
House M.D.,Frederick King Keller,In which year did 'House M.D.' directed by Frederick King Keller win an Emmy?
House M.D.,Bryan Singer,In which year did 'House M.D.' directed by Bryan Singer win an Emmy?
House M.D.,Bryan Spicer,In which year did 'House M.D.' directed by Bryan Spicer win an Emmy?
House M.D.,Colin Bucksey,In which year did 'House M.D.' directed by Colin Bucksey win an Emmy?
House M.D.,Dan Attias,In which year did 'House M.D.' directed by Dan Attias win an Emmy?
House M.D.,Daniel Sackheim,In which year did 'House M.D.' directed by Daniel Sackheim win an Emmy?
House M.D.,David Semel,In which year did 'House M.D.' directed by David Semel win an Emmy?
House M.D.,David Shore,In which year did 'House M.D.' directed by David Shore win an Emmy?
House M.D.,Deran Sarafian,In which year did 'House M.D.' directed by Deran Sarafian win an Emmy?
House M.D.,Elodie Keene,In which year did 'House M.D.' directed by Elodie Keene win an Emmy?
House M.D.,Félix Enríquez Alcalá,In which year did 'House M.D.' directed by Félix Enríquez Alcalá win an Emmy?
House M.D.,Lesli Linka Glatter,In which year did 'House M.D.' directed by Lesli Linka Glatter win an Emmy?
House M.D.,Fred Gerber,In which year did 'House M.D.' directed by Fred Gerber win an Emmy?
House M.D.,Greg Yaitanes,In which year did 'House M.D.' directed by Greg Yaitanes win an Emmy?
House M.D.,Guy Ferland,In which year did 'House M.D.' directed by Guy Ferland win an Emmy?
House M.D.,Hugh Laurie,In which year did 'House M.D.' directed by Hugh Laurie win an Emmy?
House M.D.,Jace Alexander,In which year did 'House M.D.' directed by Jace Alexander win an Emmy?
Harry Potter and the Goblet of Fire,Mike Newell,In which year did 'Harry Potter and the Goblet of Fire' directed by Mike Newell win an Emmy?
House M.D.,James Hayman,In which year did 'House M.D.' directed by James Hayman win an Emmy?
House M.D.,Juan J. Campanella,In which year did 'House M.D.' directed by Juan J. Campanella win an Emmy?
House M.D.,Bill Johnson,In which year did 'House M.D.' directed by Bill Johnson win an Emmy?
House M.D.,Laura Innes,In which year did 'House M.D.' directed by Laura Innes win an Emmy?
Prison Break,Paul Scheuring,In which year did 'Prison Break' directed by Paul Scheuring win an Emmy?
The X-Files,Rob Bowman,In which year did 'The X-Files' directed by Rob Bowman win an Emmy?
Harry Potter and the Order of the Phoenix,David Yates,In which year did 'Harry Potter and the Order of the Phoenix' directed by David Yates win an Emmy?
Harry Potter and the Half-Blood Prince,David Yates,In which year did 'Harry Potter and the Half-Blood Prince' directed by David Yates win an Emmy?
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,In which year did 'Pirates of the Caribbean: The Curse of the Black Pearl' directed by Gore Verbinski win an Emmy?
Ratatouille,Jan Pinkava,In which year did 'Ratatouille' directed by Jan Pinkava win an Emmy?
Ratatouille,Brad Bird,In which year did 'Ratatouille' directed by Brad Bird win an Emmy?
Slumdog Millionaire,Danny Boyle,In which year did 'Slumdog Millionaire' directed by Danny Boyle win an Emmy?
Slumdog Millionaire,Loveleen Tandan,In which year did 'Slumdog Millionaire' directed by Loveleen Tandan win an Emmy?
Toy Story 2,Ash Brannon,In which year did 'Toy Story 2' directed by Ash Brannon win an Emmy?
Toy Story 2,John Lasseter,In which year did 'Toy Story 2' directed by John Lasseter win an Emmy?
Toy Story 2,Lee Unkrich,In which year did 'Toy Story 2' directed by Lee Unkrich win an Emmy?
Moana,Chris Williams,In which year did 'Moana' directed by Chris Williams win an Emmy?
Kung Fu Panda,John Stevenson,In which year did 'Kung Fu Panda' directed by John Stevenson win an Emmy?
Moana,Don Hall,In which year did 'Moana' directed by Don Hall win an Emmy?
Moana,Ron Clements,In which year did 'Moana' directed by Ron Clements win an Emmy?
