entity1,entity2,question
Michael Lembeck,Jonathan Frakes,Which Michael Lembeck films stars Jonathan Frakes?
Roy Burdine,Avery Brooks,Which Roy Burdine films stars Avery Brooks?
David Trainer,Avery Brooks,Which David Trainer films stars Avery Brooks?
Dennis Smith,Avery Brooks,Which Dennis Smith films stars Avery Brooks?
James Whitmore Jr.,Avery Brooks,Which James Whitmore Jr. films stars Avery Brooks?
Dave Willis,Avery Brooks,Which Dave Willis films stars Avery Brooks?
Matt Maiellaro,Avery Brooks,Which Matt Maiellaro films stars Avery Brooks?
Vincent Waller,Avery Brooks,Which Vincent Waller films stars Avery Brooks?
Trey Parker,Avery Brooks,Which Trey Parker films stars Avery Brooks?
Fred Olen Ray,Avery Brooks,Which Fred Olen Ray films stars Avery Brooks?
Michael Lembeck,Avery Brooks,Which Michael Lembeck films stars Avery Brooks?
Roy Burdine,Robert Beltran,Which Roy Burdine films stars Robert Beltran?
David Trainer,Robert Beltran,Which David Trainer films stars Robert Beltran?
Dennis Smith,Robert Beltran,Which Dennis Smith films stars Robert Beltran?
James Whitmore Jr.,Robert Beltran,Which James Whitmore Jr. films stars Robert Beltran?
Dave Willis,Robert Beltran,Which Dave Willis films stars Robert Beltran?
Matt Maiellaro,Robert Beltran,Which Matt Maiellaro films stars Robert Beltran?
Vincent Waller,Robert Beltran,Which Vincent Waller films stars Robert Beltran?
Trey Parker,Robert Beltran,Which Trey Parker films stars Robert Beltran?
Fred Olen Ray,Robert Beltran,Which Fred Olen Ray films stars Robert Beltran?
Michael Lembeck,Robert Beltran,Which Michael Lembeck films stars Robert Beltran?
Roy Burdine,Ethan Phillips,Which Roy Burdine films stars Ethan Phillips?
David Trainer,Ethan Phillips,Which David Trainer films stars Ethan Phillips?
Dennis Smith,Ethan Phillips,Which Dennis Smith films stars Ethan Phillips?
Dave Willis,Ethan Phillips,Which Dave Willis films stars Ethan Phillips?
Matt Maiellaro,Ethan Phillips,Which Matt Maiellaro films stars Ethan Phillips?
Vincent Waller,Ethan Phillips,Which Vincent Waller films stars Ethan Phillips?
Trey Parker,Ethan Phillips,Which Trey Parker films stars Ethan Phillips?
Fred Olen Ray,Ethan Phillips,Which Fred Olen Ray films stars Ethan Phillips?
Michael Lembeck,Ethan Phillips,Which Michael Lembeck films stars Ethan Phillips?
Roy Burdine,Tim Russ,Which Roy Burdine films stars Tim Russ?
David Trainer,Tim Russ,Which David Trainer films stars Tim Russ?
Dennis Smith,Tim Russ,Which Dennis Smith films stars Tim Russ?
James Whitmore Jr.,Tim Russ,Which James Whitmore Jr. films stars Tim Russ?
Dave Willis,Tim Russ,Which Dave Willis films stars Tim Russ?
Matt Maiellaro,Tim Russ,Which Matt Maiellaro films stars Tim Russ?
Vincent Waller,Tim Russ,Which Vincent Waller films stars Tim Russ?
Trey Parker,Tim Russ,Which Trey Parker films stars Tim Russ?
Fred Olen Ray,Tim Russ,Which Fred Olen Ray films stars Tim Russ?
Michael Lembeck,Tim Russ,Which Michael Lembeck films stars Tim Russ?
Roy Burdine,Robert Duncan McNeill,Which Roy Burdine films stars Robert Duncan McNeill?
David Trainer,Robert Duncan McNeill,Which David Trainer films stars Robert Duncan McNeill?
Dennis Smith,Robert Duncan McNeill,Which Dennis Smith films stars Robert Duncan McNeill?
James Whitmore Jr.,Robert Duncan McNeill,Which James Whitmore Jr. films stars Robert Duncan McNeill?
Dave Willis,Robert Duncan McNeill,Which Dave Willis films stars Robert Duncan McNeill?
Matt Maiellaro,Robert Duncan McNeill,Which Matt Maiellaro films stars Robert Duncan McNeill?
Vincent Waller,Robert Duncan McNeill,Which Vincent Waller films stars Robert Duncan McNeill?
Trey Parker,Robert Duncan McNeill,Which Trey Parker films stars Robert Duncan McNeill?
Fred Olen Ray,Robert Duncan McNeill,Which Fred Olen Ray films stars Robert Duncan McNeill?
Michael Lembeck,Robert Duncan McNeill,Which Michael Lembeck films stars Robert Duncan McNeill?
Roy Burdine,Garrett Wang,Which Roy Burdine films stars Garrett Wang?
David Trainer,Garrett Wang,Which David Trainer films stars Garrett Wang?
Dennis Smith,Garrett Wang,Which Dennis Smith films stars Garrett Wang?
James Whitmore Jr.,Garrett Wang,Which James Whitmore Jr. films stars Garrett Wang?
Dave Willis,Garrett Wang,Which Dave Willis films stars Garrett Wang?
Matt Maiellaro,Garrett Wang,Which Matt Maiellaro films stars Garrett Wang?
Vincent Waller,Garrett Wang,Which Vincent Waller films stars Garrett Wang?
Trey Parker,Garrett Wang,Which Trey Parker films stars Garrett Wang?
Fred Olen Ray,Garrett Wang,Which Fred Olen Ray films stars Garrett Wang?
Michael Lembeck,Garrett Wang,Which Michael Lembeck films stars Garrett Wang?
Roy Burdine,Courteney Cox,Which Roy Burdine films stars Courteney Cox?
David Trainer,Courteney Cox,Which David Trainer films stars Courteney Cox?
Dennis Smith,Courteney Cox,Which Dennis Smith films stars Courteney Cox?
James Whitmore Jr.,Courteney Cox,Which James Whitmore Jr. films stars Courteney Cox?
Dave Willis,Courteney Cox,Which Dave Willis films stars Courteney Cox?
Matt Maiellaro,Courteney Cox,Which Matt Maiellaro films stars Courteney Cox?
Vincent Waller,Courteney Cox,Which Vincent Waller films stars Courteney Cox?
Trey Parker,Courteney Cox,Which Trey Parker films stars Courteney Cox?
Fred Olen Ray,Courteney Cox,Which Fred Olen Ray films stars Courteney Cox?
