domain,head_entity,tail_entity,ungrounded_question,grounded_question,ground_truth,head_sitelinks,tail_sitelinks
book,Nnamdi Azikiwe,Zik: Testimonies to a Great African,"When was the book ""Zik: Testimonies to a Great African"" published?","When was Nnamdi Azikiwe's book ""Zik: Testimonies to a Great African"" published?",2006-01-01,52,0
book,Oliver Goldsmith,The Vicar of Wakefield,"When was the book ""The Vicar of Wakefield"" published?","When was Oliver Goldsmith's book ""The Vicar of Wakefield"" published?",1841-01-01,81,0
book,Oliver Goldsmith,The Vicar of Wakefield; a tale,"When was the book ""The Vicar of Wakefield; a tale"" published?","When was Oliver Goldsmith's book ""The Vicar of Wakefield; a tale"" published?",1858-01-01,81,0
book,Pablo Neruda,Poems,"When was the book ""Poems"" published?","When was Pablo Neruda's book ""Poems"" published?",2017-01-01,165,0
book,Paul Klee,Pedagogical Sketchbook,"When was the book ""Pedagogical Sketchbook"" published?","When was Paul Klee's book ""Pedagogical Sketchbook"" published?",1925-01-01,97,1
book,Paul McCartney,The Lyrics: 1956 to the Present,"When was the book ""The Lyrics: 1956 to the Present"" published?","When was Paul McCartney's book ""The Lyrics: 1956 to the Present"" published?",2021-11-02,148,2
book,Paulo Freire,Ação cultural: Para a liberdade e outros escritos,"When was the book ""Ação cultural: Para a liberdade e outros escritos"" published?","When was Paulo Freire's book ""Ação cultural: Para a liberdade e outros escritos"" published?",2014-01-01,62,0
book,Paulo Freire,"The politics of education: Culture, power, and liberation","When was the book ""The politics of education: Culture, power, and liberation"" published?","When was Paulo Freire's book ""The politics of education: Culture, power, and liberation"" published?",1985-01-01,62,0
book,Pier Paolo Pasolini,La Divina Mimesis,"When was the book ""La Divina Mimesis"" published?","When was Pier Paolo Pasolini's book ""La Divina Mimesis"" published?",1975-01-01,95,1
book,Piet Mondrian,Le néo-plasticisme,"When was the book ""Le néo-plasticisme"" published?","When was Piet Mondrian's book ""Le néo-plasticisme"" published?",1920-01-01,87,1
book,Pope Francis,Let us dream,"When was the book ""Let us dream"" published?","When was Pope Francis's book ""Let us dream"" published?",2020-12-02,235,1
book,Rachel Carson,The Sense of Wonder,"When was the book ""The Sense of Wonder"" published?","When was Rachel Carson's book ""The Sense of Wonder"" published?",1965-01-01,107,0
book,Richard Francis Burton,"Unexplored Syria: Visits to the Libanus, the Tulúl El Safá, the Anti-Libanus, the Northern Libanus, and the 'Aláh","When was the book ""Unexplored Syria: Visits to the Libanus, the Tulúl El Safá, the Anti-Libanus, the Northern Libanus, and the 'Aláh"" published?","When was Richard Francis Burton's book ""Unexplored Syria: Visits to the Libanus, the Tulúl El Safá, the Anti-Libanus, the Northern Libanus, and the 'Aláh"" published?",1872-01-01,70,0
book,Richard Owen,Memoirs on the extinct wingless birds of New Zealand,"When was the book ""Memoirs on the extinct wingless birds of New Zealand"" published?","When was Richard Owen's book ""Memoirs on the extinct wingless birds of New Zealand"" published?",1879-01-01,65,1
book,"Robert Baden-Powell, 1st Baron Baden-Powell",Boy Scouts and What They Do,"When was the book ""Boy Scouts and What They Do"" published?","When was Robert Baden-Powell, 1st Baron Baden-Powell's book ""Boy Scouts and What They Do"" published?",1913-01-01,106,2
book,Robert Browning,Fifine at the Fair,"When was the book ""Fifine at the Fair"" published?","When was Robert Browning's book ""Fifine at the Fair"" published?",1872-01-01,98,1
book,Robert Frost,Selected Poems,"When was the book ""Selected Poems"" published?","When was Robert Frost's book ""Selected Poems"" published?",1923-01-01,127,0
book,Robert Southey,"Poems, by Robert Southey","When was the book ""Poems, by Robert Southey"" published?","When was Robert Southey's book ""Poems, by Robert Southey"" published?",1797-01-01,64,0
book,Robert Southey,"The Destroyer; or, the sorcerers of the Domdaniel","When was the book ""The Destroyer; or, the sorcerers of the Domdaniel"" published?","When was Robert Southey's book ""The Destroyer; or, the sorcerers of the Domdaniel"" published?",1842-01-01,64,0
book,Rudyard Kipling,An Almanac of Twelve Sports,"When was the book ""An Almanac of Twelve Sports"" published?","When was Rudyard Kipling's book ""An Almanac of Twelve Sports"" published?",1898-01-01,188,1
book,Rumi,Sun of Tabriz,"When was the book ""Sun of Tabriz"" published?","When was Rumi's book ""Sun of Tabriz"" published?",1956-01-01,159,0
book,Sadhguru,Encounter the Enlightened,"When was the book ""Encounter the Enlightened"" published?","When was Sadhguru's book ""Encounter the Enlightened"" published?",2001-01-01,55,1
book,Sadhguru,Joy 24 x 7,"When was the book ""Joy 24 x 7"" published?","When was Sadhguru's book ""Joy 24 x 7"" published?",2008-01-01,55,1
book,Sadhguru,Pebbles of Wisdom,"When was the book ""Pebbles of Wisdom"" published?","When was Sadhguru's book ""Pebbles of Wisdom"" published?",2009-01-01,55,1
book,Selahattin Demirtaş,Devran,"When was the book ""Devran"" published?","When was Selahattin Demirtaş's book ""Devran"" published?",2019-01-01,53,3
book,Sheldon Glashow,From Alchemy to Quarks The Study of Physics as a Liberal Art),"When was the book ""From Alchemy to Quarks The Study of Physics as a Liberal Art)"" published?","When was Sheldon Glashow's book ""From Alchemy to Quarks The Study of Physics as a Liberal Art)"" published?",1994-01-01,71,1
book,Stendhal,Vita di Henri Brulard,"When was the book ""Vita di Henri Brulard"" published?","When was Stendhal's book ""Vita di Henri Brulard"" published?",1939-01-01,135,0
book,Subrahmanyan Chandrasekhar,Polytropic distributions,"When was the book ""Polytropic distributions"" published?","When was Subrahmanyan Chandrasekhar's book ""Polytropic distributions"" published?",1933-01-01,91,0
book,Talcott Parsons,The Negro American / Kenneth Bancroft Clark and Talcott Parsons. - 1966,"When was the book ""The Negro American / Kenneth Bancroft Clark and Talcott Parsons. - 1966"" published?","When was Talcott Parsons's book ""The Negro American / Kenneth Bancroft Clark and Talcott Parsons. - 1966"" published?",1966-01-01,60,0
book,Tjalling Koopmans,Linear Regression Analysis of Economic Time Series,"When was the book ""Linear Regression Analysis of Economic Time Series"" published?","When was Tjalling Koopmans's book ""Linear Regression Analysis of Economic Time Series"" published?",1936-01-01,52,0
book,Vere Gordon Childe,Piecing Together the Past: The Interpretation of Archeological Data,"When was the book ""Piecing Together the Past: The Interpretation of Archeological Data"" published?","When was Vere Gordon Childe's book ""Piecing Together the Past: The Interpretation of Archeological Data"" published?",1956-01-01,51,0
book,Vere Gordon Childe,Progress and Archaeology,"When was the book ""Progress and Archaeology"" published?","When was Vere Gordon Childe's book ""Progress and Archaeology"" published?",1944-01-01,51,0
book,Vere Gordon Childe,The Danube in Prehistory,"When was the book ""The Danube in Prehistory"" published?","When was Vere Gordon Childe's book ""The Danube in Prehistory"" published?",1929-01-01,51,0
book,Vere Gordon Childe,The Dawn of European Civilization,"When was the book ""The Dawn of European Civilization"" published?","When was Vere Gordon Childe's book ""The Dawn of European Civilization"" published?",1925-01-01,51,0
book,Vere Gordon Childe,The Prehistory of Scotland,"When was the book ""The Prehistory of Scotland"" published?","When was Vere Gordon Childe's book ""The Prehistory of Scotland"" published?",1935-01-01,51,0
book,Vicki Baum,Hotel Berlin,"When was the book ""Hotel Berlin"" published?","When was Vicki Baum's book ""Hotel Berlin"" published?",1943-01-01,51,1
book,Victor Pelevin,Blue Lantern,"When was the book ""Blue Lantern"" published?","When was Victor Pelevin's book ""Blue Lantern"" published?",1991-01-01,57,6
book,Victor Pelevin,DTP(NN),"When was the book ""DTP(NN)"" published?","When was Victor Pelevin's book ""DTP(NN)"" published?",2003-01-01,57,5
book,Walter Scott,Kenilworth; a romance,"When was the book ""Kenilworth; a romance"" published?","When was Walter Scott's book ""Kenilworth; a romance"" published?",1821-01-01,138,0
book,Walter Scott,The Fortunes of Nigel,"When was the book ""The Fortunes of Nigel"" published?","When was Walter Scott's book ""The Fortunes of Nigel"" published?",1822-01-01,138,0
book,Willard Van Orman Quine,The Logic of Sequences: A Generalization of Principia Mathematica,"When was the book ""The Logic of Sequences: A Generalization of Principia Mathematica"" published?","When was Willard Van Orman Quine's book ""The Logic of Sequences: A Generalization of Principia Mathematica"" published?",1932-01-01,62,0
book,William Butler Yeats,The Ten Principal Upanishads,"When was the book ""The Ten Principal Upanishads"" published?","When was William Butler Yeats's book ""The Ten Principal Upanishads"" published?",1938-01-01,153,2
book,Wole Soyinka,"Art, dialogue, and outrage: essays on literature and culture","When was the book ""Art, dialogue, and outrage: essays on literature and culture"" published?","When was Wole Soyinka's book ""Art, dialogue, and outrage: essays on literature and culture"" published?",1988-01-01,112,0
book,Wole Soyinka,A Shuttle in the Crypt,"When was the book ""A Shuttle in the Crypt"" published?","When was Wole Soyinka's book ""A Shuttle in the Crypt"" published?",1971-01-01,112,0
book,Wole Soyinka,Bacchae of Euripides: a communion rite.,"When was the book ""Bacchae of Euripides: a communion rite."" published?","When was Wole Soyinka's book ""Bacchae of Euripides: a communion rite."" published?",1973-01-01,112,0
book,Wole Soyinka,Isara: a voyage around essay,"When was the book ""Isara: a voyage around essay"" published?","When was Wole Soyinka's book ""Isara: a voyage around essay"" published?",1989-01-01,112,0
book,Wole Soyinka,Madmen and specialists: a play,"When was the book ""Madmen and specialists: a play"" published?","When was Wole Soyinka's book ""Madmen and specialists: a play"" published?",1972-01-01,112,0
book,Wole Soyinka,Open sore of a continent: a personal narative of the Nigerian crisis,"When was the book ""Open sore of a continent: a personal narative of the Nigerian crisis"" published?","When was Wole Soyinka's book ""Open sore of a continent: a personal narative of the Nigerian crisis"" published?",1996-01-01,112,0
book,Wole Soyinka,Opera wonyosi,"When was the book ""Opera wonyosi"" published?","When was Wole Soyinka's book ""Opera wonyosi"" published?",1981-01-01,112,0
book,World Health Organization,Global status report on road safety 2015: supporting a decade of action,"When was the book ""Global status report on road safety 2015: supporting a decade of action"" published?","When was World Health Organization's book ""Global status report on road safety 2015: supporting a decade of action"" published?",2015-01-01,208,0
book,World Intellectual Property Organization,World Intangible Investment Highlights 2025,"When was the book ""World Intangible Investment Highlights 2025"" published?","When was World Intellectual Property Organization's book ""World Intangible Investment Highlights 2025"" published?",2025-01-01,66,0
book,Zora Neale Hurston,Spunk,"When was the book ""Spunk"" published?","When was Zora Neale Hurston's book ""Spunk"" published?",1985-01-01,63,0
album,2NE1,2012 2NE1 Global Tour: New Evolution (Live in Seoul),"When was the album ""2012 2NE1 Global Tour: New Evolution (Live in Seoul)"" released?","When was 2NE1's album ""2012 2NE1 Global Tour: New Evolution (Live in Seoul)"" released?",2012-01-01,53,3
album,2NE1,Complete of 2NE1,"When was the album ""Complete of 2NE1"" released?","When was 2NE1's album ""Complete of 2NE1"" released?",2012-03-28,53,1
album,2NE1,Crush,"When was the album ""Crush"" released?","When was 2NE1's album ""Crush"" released?",2014-06-25,53,2
album,2NE1,Nolza!,"When was the album ""Nolza!"" released?","When was 2NE1's album ""Nolza!"" released?",2011-01-01,53,2
album,30 Seconds to Mars,Bartholomew Cubbins 2006–2014,"When was the album ""Bartholomew Cubbins 2006–2014"" released?","When was 30 Seconds to Mars's album ""Bartholomew Cubbins 2006–2014"" released?",2015-01-01,95,2
album,30 Seconds to Mars,It's the End of the World but It's a Beautiful Day,"When was the album ""It's the End of the World but It's a Beautiful Day"" released?","When was 30 Seconds to Mars's album ""It's the End of the World but It's a Beautiful Day"" released?",2023-09-15,95,7
album,50 Cent,24 Shots,"When was the album ""24 Shots"" released?","When was 50 Cent's album ""24 Shots"" released?",2003-01-01,110,4
album,50 Cent,After Curtis,"When was the album ""After Curtis"" released?","When was 50 Cent's album ""After Curtis"" released?",2007-01-01,110,2
album,50 Cent,Best of 50 Cent,"When was the album ""Best of 50 Cent"" released?","When was 50 Cent's album ""Best of 50 Cent"" released?",2017-03-31,110,3
album,50 Cent,Bulletproof,"When was the album ""Bulletproof"" released?","When was 50 Cent's album ""Bulletproof"" released?",2006-01-01,110,6
album,50 Cent,Forever King,"When was the album ""Forever King"" released?","When was 50 Cent's album ""Forever King"" released?",2009-01-01,110,7
album,50 Cent,God's Plan,"When was the album ""God's Plan"" released?","When was 50 Cent's album ""God's Plan"" released?",2002-11-01,110,6
album,50 Cent,G-Unit Radio Pt. 1 :: Smokin Day 2,"When was the album ""G-Unit Radio Pt. 1 :: Smokin Day 2"" released?","When was 50 Cent's album ""G-Unit Radio Pt. 1 :: Smokin Day 2"" released?",2003-01-01,110,2
album,50 Cent,"No Mercy, No Fear","When was the album ""No Mercy, No Fear"" released?","When was 50 Cent's album ""No Mercy, No Fear"" released?",2002-01-01,110,6
album,50 Cent,"Return of the Body Snatchers: This 50 Cent, Vol. 1","When was the album ""Return of the Body Snatchers: This 50 Cent, Vol. 1"" released?","When was 50 Cent's album ""Return of the Body Snatchers: This 50 Cent, Vol. 1"" released?",2008-01-01,110,1
album,50 Cent,The Big 10,"When was the album ""The Big 10"" released?","When was 50 Cent's album ""The Big 10"" released?",2011-01-01,110,5
album,50 Cent,The Kanan Tape,"When was the album ""The Kanan Tape"" released?","When was 50 Cent's album ""The Kanan Tape"" released?",2015-01-01,110,5
album,50 Cent,The Lost Tape,"When was the album ""The Lost Tape"" released?","When was 50 Cent's album ""The Lost Tape"" released?",2012-05-22,110,4
album,50 Cent,The Massacre: Special Edition,"When was the album ""The Massacre: Special Edition"" released?","When was 50 Cent's album ""The Massacre: Special Edition"" released?",2005-01-01,110,1
album,50 Cent,War Angel LP,"When was the album ""War Angel LP"" released?","When was 50 Cent's album ""War Angel LP"" released?",2009-01-01,110,5
album,6ix9ine,Day69: Graduation Day,"When was the album ""Day69: Graduation Day"" released?","When was 6ix9ine's album ""Day69: Graduation Day"" released?",2018-01-01,51,7
album,6ix9ine,Leyenda Viva,"When was the album ""Leyenda Viva"" released?","When was 6ix9ine's album ""Leyenda Viva"" released?",2023-06-16,51,3
album,6ix9ine,Scummy Scumz,"When was the album ""Scummy Scumz"" released?","When was 6ix9ine's album ""Scummy Scumz"" released?",2015-02-18,51,0
album,6ix9ine,Tekashi69,"When was the album ""Tekashi69"" released?","When was 6ix9ine's album ""Tekashi69"" released?",2017-01-01,51,1
album,Aaliyah,Ultimate Aaliyah,"When was the album ""Ultimate Aaliyah"" released?","When was Aaliyah's album ""Ultimate Aaliyah"" released?",2005-05-10,76,6
album,ABBA,18 Hits,"When was the album ""18 Hits"" released?","When was ABBA's album ""18 Hits"" released?",2005-09-08,161,9
album,ABBA,20th Century Masters – The Millennium Collection: The Best of ABBA,"When was the album ""20th Century Masters – The Millennium Collection: The Best of ABBA"" released?","When was ABBA's album ""20th Century Masters – The Millennium Collection: The Best of ABBA"" released?",2000-09-26,161,3
album,ABBA,25 Jaar na Waterloo,"When was the album ""25 Jaar na Waterloo"" released?","When was ABBA's album ""25 Jaar na Waterloo"" released?",1999-04-05,161,1
album,ABBA,ABBA: 16 Hits,"When was the album ""ABBA: 16 Hits"" released?","When was ABBA's album ""ABBA: 16 Hits"" released?",2006-01-01,161,2
album,ABBA,ABBA Bremen 1979,"When was the album ""ABBA Bremen 1979"" released?","When was ABBA's album ""ABBA Bremen 1979"" released?",2022-04-01,161,0
album,ABBA,ABBA Collected,"When was the album ""ABBA Collected"" released?","When was ABBA's album ""ABBA Collected"" released?",2011-06-17,161,1
album,ABBA,Abba Gold Anniversary Edition,"When was the album ""Abba Gold Anniversary Edition"" released?","When was ABBA's album ""Abba Gold Anniversary Edition"" released?",2014-01-01,161,1
album,ABBA,ABBA Gold: Complete Edition,"When was the album ""ABBA Gold: Complete Edition"" released?","When was ABBA's album ""ABBA Gold: Complete Edition"" released?",2008-01-01,161,1
album,ABBA,ABBA Live in Warsaw 1976,"When was the album ""ABBA Live in Warsaw 1976"" released?","When was ABBA's album ""ABBA Live in Warsaw 1976"" released?",2022-06-01,161,0
album,ABBA,"Agnetha, Björn, Benny, Annifrid: På Svenska","When was the album ""Agnetha, Björn, Benny, Annifrid: På Svenska"" released?","When was ABBA's album ""Agnetha, Björn, Benny, Annifrid: På Svenska"" released?",1994-01-01,161,1
album,ABBA,Classic ABBA: The Universal Masters Collection,"When was the album ""Classic ABBA: The Universal Masters Collection"" released?","When was ABBA's album ""Classic ABBA: The Universal Masters Collection"" released?",2005-01-01,161,1
album,ABBA,I Love ABBA,"When was the album ""I Love ABBA"" released?","When was ABBA's album ""I Love ABBA"" released?",1983-01-01,161,0
album,ABBA,Ring Ring: Deluxe Edition,"When was the album ""Ring Ring: Deluxe Edition"" released?","When was ABBA's album ""Ring Ring: Deluxe Edition"" released?",2013-01-01,161,0
album,ABBA,Take a Chance on Me,"When was the album ""Take a Chance on Me"" released?","When was ABBA's album ""Take a Chance on Me"" released?",2006-01-30,161,1
album,ABBA,Thank You for the Music,"When was the album ""Thank You for the Music"" released?","When was ABBA's album ""Thank You for the Music"" released?",1983-11-11,161,4
album,ABBA,The ABBA Collection,"When was the album ""The ABBA Collection"" released?","When was ABBA's album ""The ABBA Collection"" released?",2004-01-01,161,1
album,ABBA,The ABBA Story,"When was the album ""The ABBA Story"" released?","When was ABBA's album ""The ABBA Story"" released?",2004-01-01,161,1
album,ABBA,The Best of ABBA,"When was the album ""The Best of ABBA"" released?","When was ABBA's album ""The Best of ABBA"" released?",1975-11-01,161,3
album,ABBA,The Magic of ABBA,"When was the album ""The Magic of ABBA"" released?","When was ABBA's album ""The Magic of ABBA"" released?",1980-01-01,161,0
album,ABBA,The Singles: The First Fifty Years,"When was the album ""The Singles: The First Fifty Years"" released?","When was ABBA's album ""The Singles: The First Fifty Years"" released?",2024-10-25,161,0
album,ABBA,The Visitors / All of the Above,"When was the album ""The Visitors / All of the Above"" released?","When was ABBA's album ""The Visitors / All of the Above"" released?",1981-01-01,161,0
album,ABBA,Voulez-Vous - The Singles,"When was the album ""Voulez-Vous - The Singles"" released?","When was ABBA's album ""Voulez-Vous - The Singles"" released?",2019-01-01,161,0
album,AC/DC,Clipped,"When was the album ""Clipped"" released?","When was AC/DC's album ""Clipped"" released?",1991-01-01,103,6
album,AC/DC,Fly on the Wall,"When was the album ""Fly on the Wall"" released?","When was AC/DC's album ""Fly on the Wall"" released?",1985-01-01,103,4
album,AC/DC,Iron Man 2 (score),"When was the album ""Iron Man 2 (score)"" released?","When was AC/DC's album ""Iron Man 2 (score)"" released?",2010-01-01,103,5
album,AC/DC,Iron Man 3 – Original Motion Picture Soundtrack,"When was the album ""Iron Man 3 – Original Motion Picture Soundtrack"" released?","When was AC/DC's album ""Iron Man 3 – Original Motion Picture Soundtrack"" released?",2013-01-01,103,1
album,AC/DC,Let There Be Rock: The Movie – Live in Paris,"When was the album ""Let There Be Rock: The Movie – Live in Paris"" released?","When was AC/DC's album ""Let There Be Rock: The Movie – Live in Paris"" released?",1997-11-18,103,7
album,AC/DC,Live: 2 CD Collector's Edition,"When was the album ""Live: 2 CD Collector's Edition"" released?","When was AC/DC's album ""Live: 2 CD Collector's Edition"" released?",1992-10-27,103,3
album,AC/DC,Live '77,"When was the album ""Live '77"" released?","When was AC/DC's album ""Live '77"" released?",2003-01-01,103,4
album,AC/DC,Plug Me In,"When was the album ""Plug Me In"" released?","When was AC/DC's album ""Plug Me In"" released?",2007-01-01,103,9
album,AC/DC,Stiff Upper Lip Tour Edition,"When was the album ""Stiff Upper Lip Tour Edition"" released?","When was AC/DC's album ""Stiff Upper Lip Tour Edition"" released?",2001-01-08,103,2
album,Ace of Base,Cruel Summer,"When was the album ""Cruel Summer"" released?","When was Ace of Base's album ""Cruel Summer"" released?",1998-07-14,53,7
album,Ace of Base,Exclusive Fan Edition,"When was the album ""Exclusive Fan Edition"" released?","When was Ace of Base's album ""Exclusive Fan Edition"" released?",2003-01-01,53,1
album,Ace of Base,Greatest Hits,"When was the album ""Greatest Hits"" released?","When was Ace of Base's album ""Greatest Hits"" released?",2000-04-18,53,4
album,Ace of Base,Hidden Gems,"When was the album ""Hidden Gems"" released?","When was Ace of Base's album ""Hidden Gems"" released?",2015-03-06,53,5
album,Ace of Base,Platinum & Gold,"When was the album ""Platinum & Gold"" released?","When was Ace of Base's album ""Platinum & Gold"" released?",2010-01-01,53,3
album,Ace of Base,Platinum & Gold Collection,"When was the album ""Platinum & Gold Collection"" released?","When was Ace of Base's album ""Platinum & Gold Collection"" released?",2003-05-06,53,5
album,Ace of Base,Playlist: The Very Best of Ace of Base,"When was the album ""Playlist: The Very Best of Ace of Base"" released?","When was Ace of Base's album ""Playlist: The Very Best of Ace of Base"" released?",2011-01-25,53,1
album,Ace of Base,Singles of the 90s,"When was the album ""Singles of the 90s"" released?","When was Ace of Base's album ""Singles of the 90s"" released?",1999-11-15,53,7
album,Ace of Base,The Collection,"When was the album ""The Collection"" released?","When was Ace of Base's album ""The Collection"" released?",2002-10-21,53,3
album,Ace of Base,The Golden Ratio,"When was the album ""The Golden Ratio"" released?","When was Ace of Base's album ""The Golden Ratio"" released?",2010-01-01,53,6
album,Ace of Base,The Hits,"When was the album ""The Hits"" released?","When was Ace of Base's album ""The Hits"" released?",2004-01-01,53,1
album,Ace of Base,The Sign,"When was the album ""The Sign"" released?","When was Ace of Base's album ""The Sign"" released?",1993-11-23,53,5
album,Ace of Base,The Ultimate Collection,"When was the album ""The Ultimate Collection"" released?","When was Ace of Base's album ""The Ultimate Collection"" released?",2005-01-01,53,5
album,Adam Lambert,Glam Nation Live,"When was the album ""Glam Nation Live"" released?","When was Adam Lambert's album ""Glam Nation Live"" released?",2011-01-01,58,2
album,Adam Lambert,Season 8 Favorite Performances,"When was the album ""Season 8 Favorite Performances"" released?","When was Adam Lambert's album ""Season 8 Favorite Performances"" released?",2009-05-20,58,2
album,Adam Lambert,Take One,"When was the album ""Take One"" released?","When was Adam Lambert's album ""Take One"" released?",2009-11-17,58,9
album,Adam Lambert,The Rocky Horror Picture Show: Let's Do the Time Warp Again,"When was the album ""The Rocky Horror Picture Show: Let's Do the Time Warp Again"" released?","When was Adam Lambert's album ""The Rocky Horror Picture Show: Let's Do the Time Warp Again"" released?",2016-10-21,58,2
album,Adam Lambert,Velvet,"When was the album ""Velvet"" released?","When was Adam Lambert's album ""Velvet"" released?",2020-01-01,58,6
album,Adam Sandler,Shhh...Don't Tell,"When was the album ""Shhh...Don't Tell"" released?","When was Adam Sandler's album ""Shhh...Don't Tell"" released?",2004-01-01,93,2
album,Adam Sandler,Stan and Judy's Kid,"When was the album ""Stan and Judy's Kid"" released?","When was Adam Sandler's album ""Stan and Judy's Kid"" released?",1999-09-01,93,3
album,Adam Sandler,They're All Gonna Laugh at You!,"When was the album ""They're All Gonna Laugh at You!"" released?","When was Adam Sandler's album ""They're All Gonna Laugh at You!"" released?",1993-09-28,93,3
album,Adam Sandler,What's Your Name?,"When was the album ""What's Your Name?"" released?","When was Adam Sandler's album ""What's Your Name?"" released?",1997-01-01,93,2
album,Adam Sandler,What the Hell Happened to Me?,"When was the album ""What the Hell Happened to Me?"" released?","When was Adam Sandler's album ""What the Hell Happened to Me?"" released?",1996-01-01,93,2
album,Adele,19 – deluxe edition,"When was the album ""19 – deluxe edition"" released?","When was Adele's album ""19 – deluxe edition"" released?",2008-11-17,135,0
album,Adriano Celentano,Adrian,"When was the album ""Adrian"" released?","When was ""Adrian""o Celentano's album ""Adrian"" released?",2019-01-01,84,3
album,Adriano Celentano,...Adriano,"When was the album ""...Adriano"" released?","When was Adriano Celentano's album ""...Adriano"" released?",2013-01-01,84,3
album,Adriano Celentano,Adriano Celentano con Giulio Libano e la sua orchestra,"When was the album ""Adriano Celentano con Giulio Libano e la sua orchestra"" released?","When was Adriano Celentano's album ""Adriano Celentano con Giulio Libano e la sua orchestra"" released?",1960-01-01,84,2
album,Adriano Celentano,Adriano hits,"When was the album ""Adriano hits"" released?","When was Adriano Celentano's album ""Adriano hits"" released?",1970-01-01,84,2
album,Adriano Celentano,Adriano Live,"When was the album ""Adriano Live"" released?","When was Adriano Celentano's album ""Adriano Live"" released?",2012-01-01,84,4
album,Adriano Celentano,Adriano rock,"When was the album ""Adriano rock"" released?","When was Adriano Celentano's album ""Adriano rock"" released?",1968-01-01,84,5
album,Adriano Celentano,A New Orleans,"When was the album ""A New Orleans"" released?","When was Adriano Celentano's album ""A New Orleans"" released?",1963-01-01,84,2
album,Adriano Celentano,Arrivano gli uomini,"When was the album ""Arrivano gli uomini"" released?","When was Adriano Celentano's album ""Arrivano gli uomini"" released?",1996-01-01,84,4
album,Adriano Celentano,Atmosfera,"When was the album ""Atmosfera"" released?","When was Adriano Celentano's album ""Atmosfera"" released?",1983-01-01,84,4
album,Adriano Celentano,Azzurro,"When was the album ""Azzurro"" released?","When was Adriano Celentano's album ""Azzurro"" released?",1968-05-25,84,4
album,Adriano Celentano,C'è sempre un motivo,"When was the album ""C'è sempre un motivo"" released?","When was Adriano Celentano's album ""C'è sempre un motivo"" released?",2004-01-01,84,5
album,Adriano Celentano,Deus,"When was the album ""Deus"" released?","When was Adriano Celentano's album ""Deus"" released?",1981-01-01,84,4
album,Adriano Celentano,Disco dance,"When was the album ""Disco dance"" released?","When was Adriano Celentano's album ""Disco dance"" released?",1977-01-01,84,4
album,Adriano Celentano,"Dormi amore, la situazione non è buona","When was the album ""Dormi amore, la situazione non è buona"" released?","When was Adriano Celentano's album ""Dormi amore, la situazione non è buona"" released?",2007-01-01,84,5
album,Adriano Celentano,Er più - Storia d'amore e di coltello,"When was the album ""Er più - Storia d'amore e di coltello"" released?","When was Adriano Celentano's album ""Er più - Storia d'amore e di coltello"" released?",1971-01-01,84,2
album,Adriano Celentano,Esco di rado e parlo ancora meno,"When was the album ""Esco di rado e parlo ancora meno"" released?","When was Adriano Celentano's album ""Esco di rado e parlo ancora meno"" released?",2000-01-01,84,4
album,Adriano Celentano,Facciamo finta che sia vero,"When was the album ""Facciamo finta che sia vero"" released?","When was Adriano Celentano's album ""Facciamo finta che sia vero"" released?",2011-01-01,84,5
album,Adriano Celentano,Geppo il folle,"When was the album ""Geppo il folle"" released?","When was Adriano Celentano's album ""Geppo il folle"" released?",1978-01-01,84,3
album,Adriano Celentano,Il forestiero,"When was the album ""Il forestiero"" released?","When was Adriano Celentano's album ""Il forestiero"" released?",1970-01-01,84,3
album,Adriano Celentano,Il meglio di Adriano Celentano,"When was the album ""Il meglio di Adriano Celentano"" released?","When was Adriano Celentano's album ""Il meglio di Adriano Celentano"" released?",1975-01-01,84,2
album,Adriano Celentano,Il ragazzo della via Gluck,"When was the album ""Il ragazzo della via Gluck"" released?","When was Adriano Celentano's album ""Il ragazzo della via Gluck"" released?",1966-01-01,84,5
album,Adriano Celentano,Il re degli ignoranti,"When was the album ""Il re degli ignoranti"" released?","When was Adriano Celentano's album ""Il re degli ignoranti"" released?",1991-01-01,84,4
album,Adriano Celentano,I mali del secolo,"When was the album ""I mali del secolo"" released?","When was Adriano Celentano's album ""I mali del secolo"" released?",1972-01-01,84,4
album,Adriano Celentano,I miei americani (tre puntini),"When was the album ""I miei americani (tre puntini)"" released?","When was Adriano Celentano's album ""I miei americani (tre puntini)"" released?",1984-01-01,84,4
album,Adriano Celentano,I miei americani (tre puntini) 2,"When was the album ""I miei americani (tre puntini) 2"" released?","When was Adriano Celentano's album ""I miei americani (tre puntini) 2"" released?",1986-01-01,84,4
album,Adriano Celentano,Io non so parlar d’amore,"When was the album ""Io non so parlar d’amore"" released?","When was Adriano Celentano's album ""Io non so parlar d’amore"" released?",1999-01-01,84,5
album,Adriano Celentano,Joan Lui,"When was the album ""Joan Lui"" released?","When was Adriano Celentano's album ""Joan Lui"" released?",1985-01-01,84,3
album,Adriano Celentano,La festa,"When was the album ""La festa"" released?","When was Adriano Celentano's album ""La festa"" released?",1966-01-01,84,2
album,Adriano Celentano,L'animale,"When was the album ""L'animale"" released?","When was Adriano Celentano's album ""L'animale"" released?",2008-01-01,84,6
album,Adriano Celentano,La pubblica ottusità,"When was the album ""La pubblica ottusità"" released?","When was Adriano Celentano's album ""La pubblica ottusità"" released?",1987-01-01,84,4
